T,mu_B,chi21,chi31,chi42
300.0,800.0000000000001,0.4468224227296241,0.07814365675422008,0.057166607811104365
298.0,800.0000000000001,0.4450777893089165,0.07834866431950663,0.056868057013444315
296.0,800.0000000000001,0.4433522273428971,0.07855999996561544,0.05655817359634953
294.0,800.0000000000001,0.4416464371676718,0.07877799289872349,0.05623653803957179
292.0,800.0000000000001,0.439961143455805,0.07900299773466526,0.0559027224811287
290.0,800.0000000000001,0.4382970951471768,0.07923539692418441,0.0555562926370004
288.0,800.0000000000001,0.43665506519820996,0.07947560339415305,0.05519681035833659
286.0,800.0000000000001,0.4350358501185947,0.07972406341380073,0.05482383698142479
284.0,800.0000000000001,0.433440269261159,0.07998125969225019,0.05443693765838332
282.0,800.0000000000001,0.43186916382679474,0.08024771470972725,0.054035686894656314
280.0,800.0000000000001,0.4303233955424368,0.08052399427954206,0.053619675563663385
278.0,800.0000000000001,0.4288038449661928,0.08081071133093157,0.05318851971961786
276.0,800.0000000000001,0.427311409369695,0.08110852989381309,0.052741871586918246
274.0,800.0000000000001,0.425847000143968,0.08141816925496183,0.05227943316840649
272.0,800.0000000000001,0.42441153967152984,0.0817404082406839,0.05180097298469131
270.0,800.0000000000001,0.42300595760443516,0.08207608956316864,0.051306346531362346
268.0,800.0000000000001,0.42163118648566145,0.08242612414587096,0.050795521118140646
266.0,800.0000000000001,0.4202881566500887,0.08279149531692838,0.05026860583045515
264.0,800.0000000000001,0.4189777903416023,0.08317326272822981,0.04972588742470476
262.0,800.0000000000001,0.41770099498519375,0.08357256582086976,0.04916787302661687
260.0,800.0000000000001,0.41645865555776446,0.08399062661491108,0.048595340538314075
258.0,800.0000000000001,0.4152516260094879,0.08442875155256852,0.04800939766177342
256.0,800.0000000000001,0.414080719699727,0.08488833206910025,0.047411550398638244
254.0,800.0000000000001,0.4129466988285968,0.08537084350548528,0.04680378176966868
252.0,800.0000000000001,0.4118502628681942,0.08587784191238289,0.04618864128844245
250.0,800.0000000000001,0.41079203602745806,0.08641095822780745,0.0455693453966029
248.0,800.0000000000001,0.40977255382247596,0.08697188924414091,0.04494988859264815
246.0,800.0000000000001,0.40879224887101734,0.08756238471752954,0.044335164332103716
244.0,800.0000000000001,0.40785143608699653,0.08818422991968142,0.04373109391454873
242.0,800.0000000000001,0.40695029751825645,0.0888392228954199,0.04314476047772915
240.0,800.0000000000001,0.4060888671498252,0.08952914567760598,0.04258454387700003
238.0,800.0000000000001,0.40526701608470067,0.09025572873427393,0.04206025064287777
236.0,800.0000000000001,0.4044844386143495,0.09102060799256344,0.04158323141038335
234.0,800.0000000000001,0.4037406397999316,0.09182527391256917,0.041166476266938055
232.0,800.0000000000001,0.4030349253000206,0.09267101228395908,0.04082467648386206
230.0,800.0000000000001,0.402366394297359,0.09355883670009181,0.04057423924952723
228.0,800.0000000000001,0.4017339364906546,0.09448941303631421,0.04043324054321196
226.0,800.0000000000001,0.40113623422078454,0.09546297672344901,0.040421300475775704
224.0,800.0000000000001,0.40057177088630325,0.09647924415847922,0.040559365631925866
222.0,800.0000000000001,0.4000388468616868,0.09753732021500003,0.040869384571938165
220.0,800.0000000000001,0.39953560415445005,0.09863560447514556,0.04137386608381261
218.0,800.0000000000001,0.3990600610154193,0.09977169945490048,0.04209531536716186
216.0,800.0000000000001,0.3986101576434618,0.10094232467099647,0.04305555131153167
214.0,800.0000000000001,0.39818381399855646,0.10214324081800426,0.044274918451696656
212.00000000000003,800.0000000000001,0.3977790005572025,0.10336918849304684,0.045771419832349905
210.00000000000003,800.0000000000001,0.39739382262059664,0.10461384571875058,0.04755981138094104
208.00000000000003,800.0000000000001,0.39702661853661675,0.10586980786883876,0.04965071364382285
206.00000000000003,800.0000000000001,0.3966760719493991,0.10712859240144931,0.05204981180372569
204.00000000000003,800.0000000000001,0.3963413379846928,0.10838066897912663,0.054757228562832175
202.00000000000003,800.0000000000001,0.3960221831665103,0.10961551305521312,0.057767165654023504
200.00000000000003,800.0000000000001,0.39571913890430527,0.11082167781617495,0.06106791777516957
197.99999999999997,800.0000000000001,0.39543366866528035,0.11198687548969233,0.0646423678018065
196.0,800.0000000000001,0.3951683495414627,0.1130980544561684,0.0684690756805039
194.0,800.0000000000001,0.3949270699389972,0.11414145328632885,0.0725240786720471
192.0,800.0000000000001,0.3947152466823623,0.11510260660503736,0.07678353314886618
190.0,800.0000000000001,0.3945400670975069,0.11596627017422685,0.08122735648640096
188.0,800.0000000000001,0.3944107648309464,0.116716223066363,0.08584408421429288
186.0,800.0000000000001,0.394338942587836,0.11733489197876001,0.0906372606053958
184.0,800.0000000000001,0.39433896110119043,0.11780272447030579,0.0956338569191888
182.0,800.0000000000001,0.3944284222082636,0.11809721068936489,0.10089550109027641
180.0,800.0000000000001,0.394628786067731,0.11819141135611287,0.10653376971642271
178.0,800.0000000000001,0.3949661801628518,0.1180517841851146,0.11273154231432632
176.0,800.0000000000001,0.39547248382087447,0.11763499644700154,0.11977362500355555
174.0,800.0000000000001,0.3961868115037854,0.11688324249927388,0.12809181969467306
172.0,800.0000000000001,0.39715757938632623,0.1157173079938177,0.13833288077641223
170.0,800.0000000000001,0.3984454368528199,0.11402615959686484,0.15146332823243575
168.0,800.0000000000001,0.4001275020725219,0.11165104978944539,0.16893465006988487
166.0,800.0000000000001,0.4023036025465033,0.10836074780033611,0.1929493827391439
164.0,800.0000000000001,0.40510566780209484,0.10381203259429551,0.2268994230746516
162.0,800.0000000000001,0.4087122044971704,0.09748499669471428,0.27610576539459325
