T,rho_B,mu,P,phi_u,phi_d,phi_s,Phi1,Phi2
131.03,3.0,300.3021043743124,21.02270406347086,-0.37027138684612154,-0.37027138684614047,-1.9405269575622637,0.316912446493692,0.34571668304361663
131.03,2.99,300.06258511292503,21.024105195397503,-0.3744823615904158,-0.37448236159042114,-1.94131381581853,0.31642269143316787,0.34527335984709895
131.03,2.98,299.8257205527951,21.025527194930493,-0.378751895549383,-0.3787518955493832,-1.9421010772950238,0.31593287489913463,0.3448302578716568
131.03,2.97,299.59157707784254,21.026970358622037,-0.3830800886177966,-0.38308008861780507,-1.942888805225769,0.31544301449252976,0.3443873993236921
131.03,2.96,299.3602197090978,21.028434970483524,-0.38746698026424775,-0.38746698026424575,-1.9436770627610735,0.3149531270090582,0.34394480561720386
131.03,2.95,299.13171257303554,21.029921302953827,-0.3919125563058068,-0.3919125563058046,-1.94446591311216,0.3144632285580987,0.34350249751393
131.03,2.94,298.90611873782063,21.031429615873492,-0.39641674718612196,-0.3964167471861222,-1.945255419446207,0.3139733344881599,0.34306049504353164
131.03,2.93,298.68350004640644,21.032960155460056,-0.4009794263987176,-0.40097942639871537,-1.9460456447772725,0.3134834593115919,0.34261881742276307
131.03,2.92,298.4639169473685,21.034513153291392,-0.40560040907322065,-0.40560040907322303,-1.9468366518534683,0.31299361662901704,0.3421774829741138
131.03,2.91,298.24742832435277,21.036088825303302,-0.4102794507405759,-0.4102794507405738,-1.947628503041009,0.3125038190538823,0.3417365090443515
131.03,2.9,298.0340913251325,21.037687370808463,-0.4150162462929978,-0.41501624629300016,-1.948421260205579,0.3120140781376173,0.34129591192346986
131.03,2.89,297.8239611912855,21.03930897154364,-0.4198104291535367,-0.4198104291535315,-1.9492149845917943,0.31152440429585193,0.3408557067645362
131.03,2.88,297.61709108959144,21.04095379075248,-0.42466157066893373,-0.4246615706689415,-1.95000973670113,0.31103480673624717,0.34041590750501394
131.03,2.87,297.4135319462228,21.042621972310776,-0.42956917973767345,-0.429569179737674,-1.9508055761692822,0.3105452933883731,0.3399765267900395
131.03,2.86,297.2133322848979,21.044313639901688,-0.43453270268387867,-0.43453270268387406,-1.951602561643595,0.31005587083620934,0.33953757589826095
131.03,2.85,297.0165380701176,21.04602889624755,-0.43955152338575765,-0.43955152338576525,-1.952400750661174,0.3095665442537422,0.33909906467075535
131.03,2.84,296.8231925566115,21.047767822405103,-0.4446249636648419,-0.4446249636648475,-1.9532001995287551,0.30907731734415583,0.3386610014435632
131.03,2.83,296.6333361461265,21.049530477130578,-0.44975228394033295,-0.44975228394033356,-1.9540009632047837,0.3085881922831204,0.3382233929843856
131.03,2.82,296.44700625265574,21.051316896320287,-0.45493268415108545,-0.4549326841510861,-1.954803095184841,0.3080991696666271,0.33778624443393684
131.03,2.81,296.2642371770976,21.053127092532456,-0.46016530494378133,-0.46016530494378194,-1.9556066473908358,0.30761024846379464,0.3373495592524223
