T,mu_B,chi21,chi31,chi42
300.0,10.0,19.733712399944217,0.04217291330625469,0.04216913597684812
298.0,10.0,19.733728495178717,0.0431257152181179,0.04312176893191557
296.0,10.0,19.733745163273763,0.04411243016349712,0.04410831212683008
294.0,10.0,19.733762419778362,0.045133978871742406,0.045129687271765126
292.0,10.0,19.733780278966293,0.04619120662844712,0.04618674081002032
290.0,10.0,19.733798753550005,0.04728486630240742,0.04728022695179832
288.0,10.0,19.733817854383414,0.04841560079956724,0.04841079013013196
286.0,10.0,19.733837590164633,0.04958392544305031,0.04957894737658612
284.0,10.0,19.73385796714862,0.05079021092111923,0.050785071257004114
282.0,10.0,19.73387898888072,0.05203466759540081,0.052029374157991914
280.0,10.0,19.733900655972025,0.05331733211238481,0.053311894865636755
278.0,10.0,19.733922965929924,0.05463805740275904,0.05463248851960895
276.0,10.0,19.733945913067387,0.05599650727388012,0.05599082114692786
274.0,10.0,19.73396948851058,0.057392156888590944,0.05738637006800869
272.0,10.0,19.73399368032983,0.05882430046659373,0.058818431511178694
270.0,10.0,19.73401847381446,0.060292067533259136,0.06028613676121317
268.0,10.0,19.734043851912816,0.0617944489704961,0.06178847809783904
266.0,10.0,19.734069795858037,0.06333033399815266,0.06332434565455787
264.0,10.0,19.734096285993342,0.06489855904625126,0.06489257616032108
262.0,10.0,19.73412330281259,0.06649796929573534,0.06649201434383702
260.0,10.0,19.734150828224234,0.06812749351224534,0.06812158762642975
258.0,10.0,19.734178847050345,0.06978623273658598,0.06978039466689696
256.0,10.0,19.73420734877108,0.07147356351115741,0.07146780843473542
254.0,10.0,19.73423632953223,0.07318925672317733,0.07318359488542767
252.0,10.0,19.734265794449062,0.07493361397432918,0.07492804913422918
250.0,10.0,19.734295760264423,0.07670762482918754,0.07670215245891938
248.0,10.0,19.734326258453766,0.07851315060763099,0.07850775576246509
246.0,10.0,19.73435733893471,0.08035314393917649,0.08034779866157098
244.0,10.0,19.734389074628776,0.08223191864980939,0.08222657869342688
242.0,10.0,19.734421567256476,0.08415549258418935,0.08415009312557155
240.0,10.0,19.73445495494994,0.08613203810083023,0.08612648792649984
238.0,10.0,19.73448942259118,0.08817249355966966,0.08816666693748317
236.0,10.0,19.734525216261897,0.0902914180778135,0.0902851430808165
234.0,10.0,19.734562663975527,0.09250821783073414,0.09250125917228236
232.0,10.0,19.734602206121874,0.09484894671004335,0.0948409799841946
230.0,10.0,19.734644441136858,0.09734900726242073,0.09733957953601549
228.0,10.0,19.73469019540871,0.10005728493150969,0.10004575332252473
226.0,10.0,19.734740632429585,0.1030426027381798,0.10302803690314782
224.0,10.0,19.73479742656532,0.10640399687546002,0.10638502138776226
222.0,10.0,19.734863044908042,0.11028738257926385,0.11026191789300209
220.0,10.0,19.73494121193233,0.11491302852976552,0.11487785980556048
218.0,10.0,19.735037683788214,0.12062133914411007,0.1205713955686072
216.0,10.0,19.735161536470795,0.1279490250343201,0.12787619311727544
214.0,10.0,19.735327247414613,0.1377522107625715,0.13764349284968325
212.00000000000003,10.0,19.735557750416554,0.15138719592817756,0.15122233258068465
210.00000000000003,10.0,19.735887701520014,0.17090405062974265,0.1706542516031624
208.00000000000003,10.0,19.736362637389366,0.1989983044710812,0.1986322794609916
206.00000000000003,10.0,19.737022030039313,0.23801174560183522,0.23752137672468304
204.00000000000003,10.0,19.737853724070263,0.2872386239389137,0.28668307773116564
202.00000000000003,10.0,19.73875068365839,0.3403565376502593,0.3398662473357516
200.00000000000003,10.0,19.739554461827417,0.3879815843931704,0.3876724008514517
197.99999999999997,10.0,19.740165831896817,0.4242206947772975,0.4241194131606428
196.0,10.0,19.740583678353904,0.44899380639018943,0.44905919280231626
194.0,10.0,19.74085998237941,0.46537503480845804,0.46554921596499893
192.0,10.0,19.74105413300622,0.4768825219794276,0.4771173031276623
190.0,10.0,19.74121588733018,0.48646508748861644,0.48672636284087406
188.0,10.0,19.741385353935527,0.496499615334339,0.4967638454710988
186.0,10.0,19.74159867894481,0.5091274370000608,0.5093767897062705
184.0,10.0,19.74189580011548,0.5267134532555221,0.5269309348175503
182.0,10.0,19.742331411954428,0.5524952023604182,0.5526587178119146
180.0,10.0,19.742994349856538,0.5917298579212756,0.5918019785096897
178.0,10.0,19.74404879746405,0.6541319629598544,0.6540369742930429
176.0,10.0,19.745832523998747,0.7596841963151866,0.7592488385398157
174.0,10.0,19.749089056136633,0.9523728399453613,0.9511820124174786
172.0,10.0,19.755153990626223,1.3112781213336595,1.3087295120328102
170.0,10.0,19.76272634129269,1.7599384827510693,1.7581310131589056
168.0,10.0,19.764695309226486,1.877131332913344,1.8781177176704973
166.0,10.0,19.763371135628244,1.7987754970728993,1.8001791442464208
164.0,10.0,19.762174721055743,1.727850078072913,1.7289738060386595
162.0,10.0,19.761519490654923,1.688982437069868,1.6898266753102589
160.0,10.0,19.761274902332925,1.6744535915414476,1.6750924194724863
158.0,10.0,19.761311850773726,1.6766128530188023,1.6771053001942067
156.0,10.0,19.76154555036299,1.6904344303761771,1.6908210789809264
154.0,10.0,19.761922779059525,1.7127633556841044,1.713071841088035
152.0,10.0,19.762409805007408,1.7416000459902856,1.7418495405976215
150.0,10.0,19.76298487533341,1.7756550509183824,1.7758591750799255
148.0,10.0,19.763633787964277,1.8140865368194723,1.8142551887885032
146.0,10.0,19.764347255559763,1.8563440133896667,1.8564845330535265
144.0,10.0,19.765119296051953,1.9020729230364617,1.9021908496273492
142.0,10.0,19.765946222427228,1.9510547561854896,1.9511543345650684
140.0,10.0,19.766825992340344,2.0031684989251994,2.0032530263306754
138.0,10.0,19.767757780462908,2.058365284589211,2.058437353456972
136.0,10.0,19.768741692935784,2.1166514645860848,2.1167131344760297
134.0,10.0,19.769778574567425,2.178077203190369,2.178130131653086
132.0,10.0,19.770869879762575,2.2427287936159552,2.242774323229768
130.0,10.0,19.772017585906106,2.3107235531947867,2.310762783050538
128.0,10.0,19.773224138229804,2.3822065503693084,2.3822403881823035
126.0,10.0,19.774492417178696,2.4573486735790135,2.4573778753382425
124.0,10.0,19.775825722874817,2.5363457142588772,2.536370914642095
122.0,10.0,19.777227772990567,2.6194182451148222,2.6194399809933118
120.0,10.0,19.7787027115821,2.70681214897875,2.7068308777079264
118.0,10.0,19.780255127327994,2.798799705613213,2.7988158193580817
116.0,10.0,19.78189008022972,2.8956811816435724,2.895695018671459
114.0,10.0,19.783613136340254,2.9977868973734743,2.9977987510124824
112.0,10.0,19.785430410454307,3.1054797669051797,3.1054898926958754
110.0,10.0,19.787348617009304,3.2191583270114235,3.2191669484551215
108.0,10.0,19.789375129748887,3.3392602872361103,3.339267600445284
106.00000000000001,10.0,19.791518050950796,3.4662666499427752,3.466272827431548
104.00000000000001,10.0,19.793786291324547,3.6007064655131487,3.60071165930898
102.00000000000001,10.0,19.796189661952596,3.7431623054791348,3.74316664969784
100.00000000000001,10.0,19.7987389799884,3.8942765559183528,3.8942801689138835
98.0,10.0,19.80144619021123,4.054758655835033,4.054761642008474
96.0,10.0,19.804324504942777,4.225393431448959,4.225395882787158
94.0,10.0,19.80738856538719,4.4070507085055235,4.407052705901169
92.0,10.0,19.81065462805934,4.600696422232785,4.600698036630888
90.0,10.0,19.81414078073326,4.8074054901530605,4.807406783556286
88.0,10.0,19.817867193271223,5.02837676870278,5.028377795064305
86.0,10.0,19.82185640984997,5.264950483269482,5.264951289292972
84.0,10.0,19.82613369048329,5.518628606257086,5.518629232123338
82.0,10.0,19.83072741154003,5.791098763660152,5.791099243693292
80.0,10.0,19.835669537140546,6.084262383171264,6.084262746454154
78.0,10.0,19.840996176082083,6.4002679637253115,6.400268234671752
76.0,10.0,19.846748242468777,6.741550557673807,6.741550756563836
74.0,10.0,19.852972242658254,7.110878825873217,7.110878969356412
72.0,10.0,19.85972121689584,7.511411370785672,7.511411472350958
70.0,10.0,19.86705587130967,7.946764497323559,7.946764567737387
68.0,10.0,19.875045945521624,8.421094128425812,8.421094176142566
66.0,10.0,19.883771873614307,8.939195357076633,8.939195388611243
64.0,10.0,19.893326812505638,9.506624110530407,9.506624130803473
62.0,10.0,19.903819133658033,10.129846722279947,10.129846734921536
60.0,10.0,19.915384884448724,10.816423112560196,10.816371715464077
58.0,10.0,19.928151701690503,11.575245185074339,11.575208114699272
56.0,10.0,19.942307624934458,12.416813142485934,12.416786776194089
54.0,10.0,19.95806125705034,13.35361005335612,13.353591579699966
52.00000000000001,10.0,19.97566192554758,14.400564928435397,14.400552192505312
50.00000000000001,10.0,19.995409581375437,15.575651209811634,15.575642581795643
