T,mu_B,phi_u,phi_d,phi_s,Phi1,Phi2
208.0,0.0,-0.3883432062351989,-0.3883432062351989,-1.6783710380572783,0.6448169634229761,0.6448169634229761
207.0,0.0,-0.4207101866035893,-0.42071018660358933,-1.6915688081921294,0.640598911268818,0.640598911268818
206.0,0.0,-0.45646045779365185,-0.45646045779365196,-1.7050791208594016,0.6362248255730779,0.6362248255730779
205.0,0.0,-0.49559104037565216,-0.4955910403756508,-1.718955434481489,0.6316771205420963,0.6316771205420963
204.0,0.0,-0.537903010504343,-0.5379030105043436,-1.733232669073208,0.6269387684254816,0.6269387684254816
203.0,0.0,-0.5829802100789578,-0.5829802100789586,-1.7479168506727558,0.6219949761810174,0.6219949761810174
202.0,0.0,-0.630212715507222,-0.6302127155072221,-1.7629786341026903,0.6168346746783607,0.6168346746783607
201.0,0.0,-0.6788660812639629,-0.6788660812639626,-1.778353923922211,0.6114512588125155,0.6114512588125155
200.0,0.0,-0.7281759346201986,-0.7281759346201989,-1.7939519872199703,0.6058422829036587,0.6058422829036586
199.0,0.0,-0.7774368924163323,-0.7774368924163324,-1.8096681532738805,0.6000082718445486,0.6000082718445486
198.0,0.0,-0.8260621698449928,-0.8260621698449919,-1.8253967731384588,0.5939511280850344,0.5939511280850344
197.0,0.0,-0.8736074127926484,-0.8736074127926489,-1.8410411389043941,0.5876726210719193,0.5876726210719193
196.0,0.0,-0.9197662121143925,-0.919766212114395,-1.8565191857352967,0.5811732368137572,0.5811732368137572
195.0,0.0,-0.9643497162334141,-0.964349716233414,-1.8717654867531917,0.5744514376997233,0.5744514376997233
194.0,0.0,-1.0072609564166881,-1.0072609564166881,-1.886730752514602,0.5675032479919523,0.5675032479919523
193.0,0.0,-1.0484703747011344,-1.0484703747011346,-1.9013800138947223,0.5603220411306638,0.5603220411306638
192.0,0.0,-1.0879954352545393,-1.0879954352545393,-1.9156903337662072,0.5528984188655927,0.5528984188655927
191.0,0.0,-1.1258849505926065,-1.1258849505926056,-1.9296485438831095,0.5452201018666307,0.5452201018666307
190.0,0.0,-1.1622076694555405,-1.1622076694555394,-1.9432492469130023,0.5372717776644146,0.5372717776644146
189.0,0.0,-1.197044307757931,-1.1970443077579305,-1.9564931677721829,0.529034868620762,0.529034868620762
188.0,0.0,-1.2304821962309798,-1.2304821962309809,-1.969385857238798,0.5204871902704814,0.5204871902704814
187.0,0.0,-1.2626118504596633,-1.2626118504596648,-1.981936715935036,0.5116024705050408,0.5116024705050408
186.0,0.0,-1.2935249323631342,-1.2935249323631366,-1.9941582974850585,0.5023496940006915,0.5023496940006915
185.0,0.0,-1.323313221992376,-1.323313221992377,-2.0060658532828826,0.492692224366878,0.492692224366878
184.0,0.0,-1.3520683419485848,-1.352068341948584,-2.0176770909664663,0.4825866379399091,0.48258663793990914
183.0,0.0,-1.3798820746870455,-1.3798820746870455,-2.0290121311246643,0.47198117606235807,0.47198117606235807
182.0,0.0,-1.4068471911210223,-1.4068471911210223,-2.040093660714277,0.4608136839765447,0.46081368397654476
181.0,0.0,-1.4330587732235454,-1.4330587732235454,-2.0509472967560134,0.4490088500321275,0.4490088500321275
180.0,0.0,-1.4586160668516739,-1.4586160668516739,-2.061602189396838,0.43647448496134805,0.4364744849613481
179.0,0.0,-1.4836249387070584,-1.4836249387070584,-2.072091905987142,0.4230964891317417,0.4230964891317417
178.0,0.0,-1.5082010054104535,-1.5082010054104535,-2.082455635143704,0.4087320706014654,0.4087320706014654
177.0,0.0,-1.5324733602133034,-1.5324733602133034,-2.0927396926624,0.3932008033302309,0.39320080333023083
176.0,0.0,-1.5565882610587716,-1.5565882610587716,-2.1029990803291216,0.37627362018634897,0.37627362018634897
175.0,0.0,-1.580710325819039,-1.580710325819039,-2.1132980886805,0.35766202084058407,0.35766202084058407
174.0,0.0,-1.6050133233240726,-1.6050133233240726,-2.123706623576916,0.3370173852048585,0.3370173852048585
173.0,0.0,-1.629637607378701,-1.629637607378701,-2.1342824902595154,0.3139737872508942,0.31397378725089425
172.0,0.0,-1.654558734253947,-1.654558734253947,-2.145015701460644,0.28832640322355974,0.28832640322355974
171.0,0.0,-1.6792970547358088,-1.6792970547358088,-2.155703441865705,0.2604997620233909,0.2604997620233909
170.0,0.0,-1.7026363306412189,-1.7026363306412189,-2.1658246954266653,0.23216072944242627,0.23216072944242627
169.0,0.0,-1.7230654739724733,-1.7230654739724733,-2.174722240243693,0.20584677331107049,0.20584677331107049
168.0,0.0,-1.7398791688869217,-1.7398791688869217,-2.182076778488109,0.18326368168023197,0.18326368168023197
167.0,0.0,-1.7533915430990903,-1.7533915430990903,-2.1880092328986884,0.16457363563847568,0.16457363563847568
166.0,0.0,-1.76429956354485,-1.76429956354485,-2.1928118143765976,0.1491500365798241,0.14915003657982412
165.0,0.0,-1.7732452200498645,-1.7732452200498645,-2.1967579953380785,0.13626892916238165,0.13626892916238167
164.0,0.0,-1.7807119551313864,-1.7807119551313864,-2.200055487165233,0.12533954509939735,0.12533954509939738
163.0,0.0,-1.7870450833301106,-1.7870450833301106,-2.2028535842558425,0.11592264307134262,0.11592264307134259
162.0,0.0,-1.7924907116256137,-1.7924907116256137,-2.205259239795374,0.10769793509996224,0.10769793509996223
161.0,0.0,-1.797226988640344,-1.797226988640344,-2.2073502256230406,0.1004303657341031,0.10043036573410312
160.0,0.0,-1.8013855990901946,-1.8013855990901946,-2.209184266796671,0.09394473685181073,0.09394473685181073
159.0,0.0,-1.8050660033080521,-1.8050660033080521,-2.210805128835167,0.08810808846761828,0.08810808846761826
158.0,0.0,-1.808344868362847,-1.808344868362847,-2.2122466674753825,0.08281768640936231,0.08281768640936231
157.0,0.0,-1.8112823998975127,-1.8112823998975127,-2.2135355576325444,0.0779927990791338,0.0779927990791338
156.0,0.0,-1.8139266728161323,-1.8139266728161323,-2.2146931658885496,0.07356899528103292,0.07356899528103292
155.0,0.0,-1.8163166526334158,-1.8163166526334158,-2.2157368606442724,0.06949412605877027,0.06949412605877027
154.0,0.0,-1.81848434489264,-1.81848434489264,-2.216680946675769,0.06572544495783195,0.06572544495783195
153.0,0.0,-1.820456352845244,-1.820456352845244,-2.2175373441158226,0.062227509652235787,0.062227509652235787
152.0,0.0,-1.8222550259308075,-1.8222550259308075,-2.2183160902737007,0.05897062859905589,0.05897062859905589
151.0,0.0,-1.8238993201460512,-1.8238993201460512,-2.219025716438804,0.0559296940270127,0.0559296940270127
150.0,0.0,-1.82540545327605,-1.82540545327605,-2.219673535445155,0.053083289811123854,0.053083289811123854
149.0,0.0,-1.8267874037846115,-1.8267874037846115,-2.2202658613278574,0.050413019447525034,0.050413019447525034
148.0,0.0,-1.8280573120481298,-1.8280573120481298,-2.2208081858974364,0.047902948938163235,0.047902948938163235
147.0,0.0,-1.829225784665101,-1.829225784665101,-2.221305313411565,0.04553920010879416,0.04553920010879416
146.0,0.0,-1.8303021433739062,-1.8303021433739062,-2.2217614707139237,0.04330960972910852,0.04330960972910852
145.0,0.0,-1.8312946241510453,-1.8312946241510453,-2.2221803955647514,0.04120345871290703,0.04120345871290703
144.0,0.0,-1.8322105389428127,-1.8322105389428127,-2.2225654085429265,0.03921125237839394,0.03921125237839394
143.0,0.0,-1.8330564081384253,-1.8330564081384253,-2.2229194720626158,0.03732454070787626,0.03732454070787626
142.0,0.0,-1.833838069917811,-1.833838069917811,-2.2232452391886333,0.03553577022648017,0.03553577022648017
141.0,0.0,-1.8345607711615044,-1.8345607711615044,-2.223545094304975,0.03383816108708643,0.03383816108708643
140.0,0.0,-1.83522924353995,-1.83522924353995,-2.223821187224164,0.03222560440852262,0.03222560440852262
139.0,0.0,-1.8358477675987057,-1.8358477675987057,-2.2240754619754033,0.030692576008073017,0.030692576008073017
138.0,0.0,-1.8364202270513594,-1.8364202270513594,-2.2243096812450323,0.029234063497007256,0.029234063497007256
137.0,0.0,-1.836950155030873,-1.836950155030873,-2.2245254472408855,0.02784550433954559,0.02784550433954559
136.0,0.0,-1.8374407736953917,-1.8374407736953917,-2.2247242195967134,0.026522732961923052,0.026522732961923052
135.0,0.0,-1.8378950283097584,-1.8378950283097584,-2.2249073308121092,0.02526193537544396,0.02526193537544396
134.0,0.0,-1.8383156167090486,-1.8383156167090486,-2.225075999629012,0.024059610072289288,0.024059610072289288
133.0,0.0,-1.8387050148814883,-1.8387050148814883,-2.225231342671508,0.022912534184960216,0.022912534184960216
