1083.10275100 	5.00000000 
1083.05511756 	6.00000000 
1082.99604204 	7.00000000 
1082.92552444 	8.00000000 
1082.84356476 	9.00000000 
1082.75016300 	10.00000000 
1082.64531916 	11.00000000 
1082.52903324 	12.00000000 
1082.40130524 	13.00000000 
1082.26213516 	14.00000000 
1082.11152300 	15.00000000 
1081.94849251 	16.00000000 
1081.77250132 	17.00000000 
1081.58420027 	18.00000000 
1081.38424020 	19.00000000 
1081.17327194 	20.00000000 
1080.95194632 	21.00000000 
1080.72091418 	22.00000000 
1080.48082636 	23.00000000 
1080.23233369 	24.00000000 
1079.97608700 	25.00000000 
1079.70586385 	26.00000000 
1079.41584526 	27.00000000 
1079.10728726 	28.00000000 
1078.78144589 	29.00000000 
1078.43957719 	30.00000000 
1078.08293720 	31.00000000 
1077.71278194 	32.00000000 
1077.33036747 	33.00000000 
1076.93694981 	34.00000000 
1076.53378500 	35.00000000 
1076.11537778 	36.00000000 
1075.67607050 	37.00000000 
1075.21687559 	38.00000000 
1074.73880550 	39.00000000 
1074.24287268 	40.00000000 
1073.73008956 	41.00000000 
1073.20146859 	42.00000000 
1072.65802221 	43.00000000 
1072.10076287 	44.00000000 
1071.53070300 	45.00000000 
1070.94102803 	46.00000000 
1070.32514827 	47.00000000 
1069.68441353 	48.00000000 
1069.02017361 	49.00000000 
1068.33377830 	50.00000000 
1067.62657740 	51.00000000 
1066.89992073 	52.00000000 
1066.15515807 	53.00000000 
1065.39363923 	54.00000000 
1064.61671400 	55.00000000 
1063.81545093 	56.00000000 
1062.98118792 	57.00000000 
1062.11567886 	58.00000000 
1061.22067761 	59.00000000 
1060.29793804 	60.00000000 
1059.34921403 	61.00000000 
1058.37625945 	62.00000000 
1057.38082817 	63.00000000 
1056.36467406 	64.00000000 
1055.32955100 	65.00000000 
1054.26394127 	66.00000000 
1053.15664598 	67.00000000 
1052.00989725 	68.00000000 
1050.82592721 	69.00000000 
1049.60696797 	70.00000000 
1048.35525166 	71.00000000 
1047.07301038 	72.00000000 
1045.76247627 	73.00000000 
1044.42588143 	74.00000000 
1043.06545800 	75.00000000 
1041.66667382 	76.00000000 
1040.21536255 	77.00000000 
1038.71430499 	78.00000000 
1037.16628195 	79.00000000 
1035.57407424 	80.00000000 
1033.94046267 	81.00000000 
1032.26822805 	82.00000000 
1030.56015120 	83.00000000 
1028.81901291 	84.00000000 
1027.04759400 	85.00000000 
1025.22816586 	86.00000000 
1023.34335961 	87.00000000 
1021.39649568 	88.00000000 
1019.39089450 	89.00000000 
1017.32987650 	90.00000000 
1015.21676210 	91.00000000 
1013.05487172 	92.00000000 
1010.84752579 	93.00000000 
1008.59804474 	94.00000000 
1006.30974900 	95.00000000 
1003.96205474 	96.00000000 
1001.53462860 	97.00000000 
999.03116667 	98.00000000 
996.45536505 	99.00000000 
993.81091982 	100.00000000 
991.10152709 	101.00000000 
988.33088295 	102.00000000 
985.50268349 	103.00000000 
982.62062481 	104.00000000 
979.68840300 	105.00000000 
976.69025558 	106.00000000 
973.60768429 	107.00000000 
970.44028150 	108.00000000 
967.18763963 	109.00000000 
963.84935108 	110.00000000 
960.42500823 	111.00000000 
956.91420351 	112.00000000 
953.31652929 	113.00000000 
949.63157799 	114.00000000 
945.85894200 	115.00000000 
942.01183903 	116.00000000 
938.09860805 	117.00000000 
934.11152332 	118.00000000 
930.04285911 	119.00000000 
925.88488969 	120.00000000 
921.62988934 	121.00000000 
917.27013233 	122.00000000 
912.79789292 	123.00000000 
908.20544538 	124.00000000 
903.48506400 	125.00000000 
898.67979734 	126.00000000 
893.82621888 	127.00000000 
888.90689026 	128.00000000 
883.90437309 	129.00000000 
878.80122900 	130.00000000 
873.58575000 	131.00000000 

