T,rho_B,mu_B,P
131.03,2.03,291.14577682646376,21.24187346654432
131.03,2.02,291.1447393912975,21.244482130972575
131.03,2.01,291.14397032198275,21.24708712265723
131.03,2.0,291.1434294893739,21.24968826263696
131.03,1.99,291.1430773284579,21.25228537764179
131.03,1.98,291.14287482161205,21.254878299946203
131.03,1.97,291.1427834816678,21.25746686722414
131.03,1.96,291.1427653348505,21.260050922405448
131.03,1.95,291.1427829036097,21.262630313534913
131.03,1.94,291.14279918937893,21.265204893632973
131.03,1.93,291.14277765528533,21.26777452055889
131.03,1.92,291.1426822088454,21.2703390568765
131.03,1.91,291.1424771846423,21.27289836972204
131.03,1.9,291.1421273270415,21.27545233067473
131.03,1.89,291.14159777290973,21.278000815630023
131.03,1.88,291.14085403441203,21.2805437046753
131.03,1.87,291.13986198182755,21.283080881968214
131.03,1.86,291.1385878264628,21.28561223561789
131.03,1.85,291.1369981036143,21.288137657568605
131.03,1.84,291.1350596556215,21.290657043486217
131.03,1.83,291.13273961500107,21.293170292647343
131.03,1.82,291.1300053876508,21.295677307831088
131.03,1.81,291.1268246361609,21.298177995213504
131.03,1.8,291.1231652631869,21.300672264264556
131.03,1.79,291.11899539493237,21.303160027647866
131.03,1.78,291.11428336469163,21.30564120112278
131.03,1.77,291.10899769647693,21.308115703449115
131.03,1.76,291.10310708872606,21.310583456294477
131.03,1.75,291.09658039806976,21.313044384143694
131.03,1.74,291.0893866231629,21.315498414210932
131.03,1.73,291.08149488858857,21.317945476354133
131.03,1.72,291.0728744287766,21.320385502991577
131.03,1.71,291.0634945719949,21.322818429020977
131.03,1.7,291.0533247243553,21.325244191740477
131.03,1.69,291.04233435384896,21.32766273077199
131.03,1.68,291.0304929743853,21.330073987986673
131.03,1.67,291.01777012983877,21.332477907432256
131.03,1.66,291.00413537809186,21.334874435262623
131.03,1.65,290.98955827504227,21.337263519669115
131.03,1.64,290.9740083585803,21.339645110813926
131.03,1.63,290.9574551325438,21.342019160765187
131.03,1.62,290.93986805057284,21.34438562343394
131.03,1.61,290.92121649993095,21.34674445451284
131.03,1.6,290.9014697852056,21.349095611416512
131.03,1.59,290.8805971119391,21.35143905322368
131.03,1.58,290.8585675701249,21.35377474062077
131.03,1.57,290.83535011756874,21.356102635847048
131.03,1.56,290.8109135631142,21.358422702641434
131.03,1.55,290.785226549696,21.360734906190615
131.03,1.54,290.75825753721057,21.363039213078594
131.03,1.53,290.72997478518664,21.365335591237777
131.03,1.52,290.7003463352459,21.367624009901064
131.03,1.51,290.66933999331565,21.369904439555608
131.03,1.5,290.6369233115808,21.37217685189753
131.03,1.49,290.6030635701834,21.37444121978796
131.03,1.48,290.5677277585911,21.37669751721028
131.03,1.47,290.5308825566561,21.37894571922832
131.03,1.46,290.4924943153481,21.381185801945843
131.03,1.45,290.4525290371017,21.38341774246711
131.03,1.44,290.4109523557697,21.38564151885809
131.03,1.43,290.36772951617917,21.38785711010914
131.03,1.42,290.3228253532161,21.39006449609828
131.03,1.41,290.2762042704819,21.39226365755562
131.03,1.4,290.2278302183892,21.39445457602841
131.03,1.39,290.1776666718027,21.396637233847215
131.03,1.38,290.12567660704434,21.398811614092725
131.03,1.37,290.07182247838097,21.40097770056333
131.03,1.36,290.01606619381414,21.40313547774372
131.03,1.35,289.9583690902681,21.405284930773842
131.03,1.34,289.8986919080413,21.40742604541874
131.03,1.33,289.836994764529,21.4095588080393
131.03,1.32,289.7732371271928,21.411683205563097
131.03,1.31,289.70737778566235,21.413799225456444
131.03,1.3,289.63937482303106,21.41590685569654
131.03,1.29,289.5691855861867,21.418006084744665
131.03,1.28,289.49676665521827,21.420096901519507
131.03,1.27,289.4220738117958,21.42217929537121
131.03,1.26,289.34506200649196,21.42425325605601
131.03,1.25,289.2656853249675,21.426318773711056
131.03,1.24,289.1838969530028,21.428375838830082
131.03,1.23,289.09964914025,21.430424442239033
131.03,1.22,289.0128931626917,21.43246457507267
131.03,1.21,288.92357928373127,21.434496228750987
