T,mu_B,phi_u,phi_d,phi_s,Phi1,Phi2
300.0,0.0,0.015262346527545169,0.015262346527545179,0.40408069840806243,0.8405791825951258,0.8405791825951258
298.0,0.0,0.01621425896487596,0.01621425896487597,0.4265031273623045,0.8382409966020228,0.8382409966020228
296.0,0.0,0.017201270719177826,0.01720127071917777,0.4494223209047034,0.8358545362037884,0.8358545362037884
294.0,0.0,0.018225657646613574,0.01822565764661357,0.4728413311180563,0.8334183687509933,0.8334183687509933
292.0,0.0,0.01928990179081571,0.01928990179081572,0.49676181197006186,0.830931004798085,0.830931004798085
290.0,0.0,0.02039671412860571,0.02039671412860569,0.5211838441146632,0.8283908958557286,0.8283908958557286
288.0,0.0,0.021549060226459724,0.02154906022645973,0.5461057536887546,0.8257964321014188,0.8257964321014188
286.0,0.0,0.022750189243968114,0.022750189243968093,0.5715239276642753,0.8231459400451071,0.8231459400451071
284.0,0.0,0.024003666799866794,0.024003666799866808,0.5974326289584151,0.8204376801419452,0.8204376801419452
282.0,0.0,0.02531341231296249,0.025313412312962504,0.6238238151703879,0.8176698443397008,0.8176698443397008
280.0,0.0,0.026683741548987165,0.026683741548987165,0.6506869654760828,0.8148405535409134,0.8148405535409134
278.0,0.0,0.028119415250525876,0.028119415250525876,0.6780089208303377,0.8119478549523335,0.8119478549523335
276.0,0.0,0.029625694907907563,0.029625694907907563,0.705773743157681,0.8089897192840035,0.8089897192840035
274.0,0.0,0.03120840695331637,0.03120840695331637,0.733962599602409,0.8059640377491679,0.8059640377491679
272.0,0.0,0.032874016940030754,0.032874016940030754,0.7625536781029705,0.8028686188035193,0.8028686188035193
270.0,0.0,0.03462971561863612,0.03462971561863612,0.7915221405002272,0.7997011845480407,0.7997011845480407
268.0,0.0,0.03648351926168852,0.03648351926168852,0.8208401190360956,0.7964593667047645,0.7964593667047645
266.0,0.0,0.0384443871430587,0.0384443871430587,0.8504767614150607,0.7931407020586829,0.7931407020586829
264.0,0.0,0.04052235978146417,0.04052235978146417,0.8803983285718835,0.7897426272425724,0.7897426272425724
262.0,0.0,0.04272872245386561,0.04272872245386561,0.9105683479271296,0.7862624727245314,0.7862624727245314
260.0,0.0,0.0450761996328748,0.0450761996328748,0.940947823262046,0.7826974558402183,0.7826974558402183
258.0,0.0,0.04757918748322308,0.04757918748322308,0.9714955004816302,0.7790446726933768,0.7790446726933768
256.0,0.0,0.050254033474958174,0.050254033474958174,1.0021681865693037,0.7753010887273807,0.7753010887273807
254.0,0.0,0.05311937468540522,0.05311937468540522,1.0329211171035215,0.7714635277458086,0.7714635277458086
252.0,0.0,0.0561965496759731,0.0561965496759731,1.0637083659595534,0.7675286591290503,0.7675286591290503
250.0,0.0,0.059510103234460855,0.059510103234460855,1.0944832894229146,0.7634929829514114,0.7634929829514114
248.0,0.0,0.06308840917867432,0.06308840917867432,1.1251989960537365,0.7593528126439019,0.7593528126439019
246.0,0.0,0.06696444440684511,0.06696444440684511,1.1558088334170715,0.7551042547618919,0.7551042547618919
244.0,0.0,0.07117675829345997,0.07117675829345997,1.1862668833726109,0.7507431852912317,0.7507431852912317
242.0,0.0,0.07577069658273392,0.07577069658273392,1.216528459138563,0.7462652217408814,0.7462652217408814
240.0,0.0,0.080799959908535,0.080799959908535,1.2465505999686253,0.7416656899942752,0.7416656899942752
238.0,0.0,0.0863286066040232,0.0863286066040232,1.2762925632353213,0.7369395844781839,0.7369395844781839
236.0,0.0,0.09243365148561516,0.09243365148561516,1.3057163193680545,0.7320815195814245,0.7320815195814245
234.0,0.0,0.09920847270543233,0.09920847270543233,1.334787063092637,0.7270856692930208,0.7270856692930208
232.0,0.0,0.10676732646784334,0.10676732646784334,1.3634737658843916,0.7219456905274736,0.7219456905274736
230.0,0.0,0.11525139782978135,0.11525139782978135,1.3917498114430156,0.716654623217771,0.716654623217771
228.0,0.0,0.12483700502040991,0.12483700502041029,1.4195937817336957,0.7112047563904911,0.7112047563904911
226.0,0.0,0.1357468539046811,0.1357468539046811,1.4469905016198534,0.7055874430501343,0.7055874430501343
224.0,0.0,0.14826564803574124,0.14826564803574124,1.473932515518854,0.6997928359431359,0.6997928359431359
222.0,0.0,0.16276194303063646,0.16276194303063646,1.5004222771794278,0.693809497842752,0.693809497842752
220.0,0.0,0.17971891164992665,0.17971891164992665,1.5264755120987445,0.687623808026972,0.687623808026972
218.0,0.0,0.1997775424332162,0.1997775424332162,1.5521265037361214,0.6812190310397781,0.6812190310397781
216.0,0.0,0.22379612725578307,0.22379612725578307,1.5774365052502748,0.6745738190530777,0.6745738190530777
214.0,0.0,0.2529275854405523,0.2529275854405523,1.602507062618619,0.66765976859321,0.66765976859321
212.0,0.0,0.28870491661450204,0.28870491661450204,1.6275003458982917,0.660437461858186,0.660437461858186
210.0,0.0,0.3330889444362169,0.3330889444362169,1.652666810952192,0.6528503805301193,0.6528503805301193
208.0,0.0,0.3883432062312655,0.3883432062312655,1.6783710380562085,0.6448169634238518,0.6448169634238518
206.0,0.0,0.4564604577873832,0.4564604577873831,1.7050791208575342,0.6362248255745953,0.6362248255745953
204.0,0.0,0.5379030104947348,0.537903010494735,1.7332326690708437,0.6269387684277462,0.6269387684277462
202.0,0.0,0.6302127156701226,0.6302127156701222,1.7629786341148193,0.6168346746789334,0.6168346746789334
200.0,0.0,0.7281759362062877,0.7281759362062874,1.7939519873757097,0.6058422828844459,0.6058422828844459
198.0,0.0,0.8260621730707052,0.8260621730707053,1.8253967735233683,0.5939511280305235,0.5939511280305235
