T,mu_B,phi_u,phi_d,phi_s,Phi1,Phi2
300.0,0.0,0.015262346527545581,0.015262346527545581,0.40408069840807204,0.8405791825951168,0.8405791825951168
299.0,0.0,0.015734050086810874,0.015734050086810874,0.41523005804659896,0.8394160365165984,0.8394160365165984
298.0,0.0,0.01621425896487629,0.01621425896487629,0.42650312736231144,0.8382409966020162,0.8382409966020162
297.0,0.0,0.016703239770550483,0.016703239770550483,0.43790040703914146,0.8370538889390409,0.8370538889390409
296.0,0.0,0.01720127071917748,0.01720127071917748,0.4494223209046946,0.8358545362037959,0.835854536203796
295.0,0.0,0.017708642244353288,0.017708642244353288,0.4610692107678183,0.8346427575922596,0.8346427575922596
294.0,0.0,0.018225657646613967,0.018225657646613967,0.47284133111806387,0.8334183687509858,0.8334183687509858
293.0,0.0,0.018752633781649854,0.018752633781649854,0.4847388436990777,0.8321811817071726,0.8321811817071726
292.0,0.0,0.01928990179081647,0.01928990179081647,0.49676181197007774,0.8309310047980699,0.8309310047980699
291.0,0.0,0.01983780787692904,0.01983780787692904,0.5089101954716148,0.8296676425998645,0.8296676425998645
290.0,0.0,0.020396714128606844,0.02039671412860683,0.5211838441146882,0.8283908958557072,0.8283908958557072
289.0,0.0,0.020966999396671526,0.020966999396671508,0.5335824924138756,0.8271005614032939,0.8271005614032939
288.0,0.0,0.021549060226459724,0.021549060226459752,0.5461057536887532,0.8257964321014203,0.8257964321014203
287.0,0.0,0.022143311850191083,0.022143311850191034,0.5587531142592163,0.8244782967560316,0.8244782967560316
286.0,0.0,0.022750189243968356,0.022750189243968377,0.5715239276642807,0.8231459400451028,0.8231459400451028
285.0,0.0,0.023370148254339942,0.02337014825433992,0.5844174089353172,0.8217991424427393,0.8217991424427393
284.0,0.0,0.02400366679986644,0.024003666799866416,0.5974326289584067,0.8204376801419522,0.8204376801419522
283.0,0.0,0.024651246153597994,0.02465124615359794,0.610568508962151,0.819061324976255,0.819061324976255
282.0,0.0,0.02531341231296241,0.025313412312962393,0.6238238151703848,0.8176698443397025,0.8176698443397025
281.0,0.0,0.025990717464174733,0.02599071746417474,0.6371971536612125,0.8162630011052266,0.8162630011052266
280.0,0.0,0.026683741548987516,0.026683741548987543,0.6506869654760895,0.8148405535409081,0.8148405535409081
279.0,0.0,0.02739309394236164,0.02739309394236166,0.6642915220243224,0.8134022552240289,0.8134022552240288
278.0,0.0,0.02811941525052651,0.028119415250526594,0.6780089208303492,0.811947854952324,0.811947854952324
277.0,0.0,0.02886337923983129,0.028863379239831295,0.6918370816717695,0.8104770966523273,0.8104770966523273
276.0,0.0,0.029625694907908135,0.02962569490790814,0.7057737431576898,0.8089897192839968,0.8089897192839968
275.0,0.0,0.030407108709828032,0.030407108709828063,0.719816459796461,0.8074854567414742,0.8074854567414742
274.0,0.0,0.03120840695331702,0.031208406953316982,0.7339625996024189,0.8059640377491609,0.8059640377491609
273.0,0.0,0.03203041837858544,0.032030418378585446,0.7482093422900553,0.8044251857526132,0.8044251857526132
272.0,0.0,0.03287401694003082,0.03287401694003078,0.7625536781029704,0.8028686188035192,0.8028686188035192
271.0,0.0,0.033740124808961394,0.03374012480896138,0.7769924073227101,0.8012940494380979,0.8012940494380979
270.0,0.0,0.03462971561863615,0.03462971561863613,0.7915221405002244,0.7997011845480423,0.7997011845480423
269.0,0.0,0.03554381797531216,0.03554381797531213,0.8061392994491566,0.7980897252431443,0.7980897252431443
268.0,0.0,0.0364835192616883,0.0364835192616883,0.8208401190360908,0.7964593667047694,0.7964593667047694
267.0,0.0,0.03744996976220348,0.03744996976220348,0.8356206497984805,0.7948097980290014,0.7948097980290014
266.0,0.0,0.038444387143059124,0.038444387143059124,0.8504767614150649,0.7931407020586795,0.7931407020586795
265.0,0.0,0.03946806132377878,0.03946806132377878,0.8654041470484407,0.791451755202808,0.791451755202808
264.0,0.0,0.040522359781464734,0.040522359781464734,0.8803983285718882,0.7897426272425682,0.7897426272425682
263.0,0.0,0.04160873333397242,0.04160873333397242,0.8954546626865644,0.788012981122341,0.788012981122341
