T,theta,sigma_u,sigma_d,sigma_s,eta_u,eta_d,eta_s,Phi1,Phi2
100.0,0.75,1.7248270382648043,1.7248270382648012,2.226320197675502,-0.6426108816648806,-0.64261088166489,-0.025119828351973177,0.003812961015783357,0.003812961015783357
100.0,0.76,1.7216860961237364,1.72168609612375,2.2263061700941127,-0.650799829749582,-0.6507998297495529,-0.02543993648605397,0.0038135303212262143,0.0038135303212262143
100.0,0.77,1.7185052615158842,1.7185052615158942,2.226291972927463,-0.6589738131353229,-0.6589738131353051,-0.025759459646117713,0.003814106958932196,0.003814106958932196
100.0,0.78,1.715284601643909,1.7152846016439114,2.226277606800752,-0.6671326416825332,-0.6671326416825311,-0.026078390399557873,0.00381469092058082,0.00381469092058082
100.0,0.79,1.7120241845708632,1.7120241845708712,2.226263072346403,-0.6752761255174151,-0.6752761255173994,-0.026396721324158434,0.003815282197736267,0.003815282197736267
100.0,0.8,1.7087240792194744,1.708724079219478,2.2262483702040163,-0.6834040750353971,-0.6834040750353884,-0.026714445008225205,0.0038158807818471966,0.0038158807818471966
100.0,0.81,1.705384355371411,1.7053843553713988,2.2262335010203502,-0.6915163009046668,-0.6915163009046973,-0.02703155405073081,0.0038164866642463953,0.0038164866642463953
100.0,0.8200000000000001,1.7020050836665177,1.7020050836665097,2.226218465449268,-0.6996126140696947,-0.6996126140697122,-0.027348041061441678,0.0038170998361506184,0.0038170998361506184
100.0,0.8300000000000001,1.6985863356021143,1.698586335602117,2.226203264151706,-0.7076928257546156,-0.7076928257546082,-0.02766389866106087,0.0038177202886602825,0.0038177202886602825
100.0,0.84,1.695128183532223,1.6951281835322132,2.226187897795631,-0.7157567474667558,-0.7157567474667728,-0.02797911948136118,0.0038183480127592408,0.0038183480127592408
100.0,0.85,1.6916307006667481,1.691630700666741,2.2261723670560123,-0.7238041910002112,-0.7238041910002277,-0.028293696165322513,0.0038189829993145047,0.0038189829993145047
100.0,0.86,1.6880939610707697,1.688093961070763,2.2261566726147697,-0.7318349684392211,-0.7318349684392328,-0.02860762136726996,0.003819625239075977,0.003819625239075977
100.0,0.87,1.6845180396637105,1.6845180396636974,2.226140815160747,-0.739848892161698,-0.739848892161726,-0.028920887753006164,0.003820274722676213,0.003820274722676213
