T,rho_B,mu_B
100.0,1.59,330.1653016221832
100.0,1.58,330.28492942374396
100.0,1.57,330.4048052428819
100.0,1.56,330.5248729534197
100.0,1.55,330.64507718472726
100.0,1.54,330.76536328276507
100.0,1.53,330.8856772714464
100.0,1.52,331.0059658143459
100.0,1.51,331.1261761767593
100.0,1.5,331.24625618809165
100.0,1.49,331.3661542045979
100.0,1.48,331.4858190724452
100.0,1.47,331.6052000910939
100.0,1.46,331.7242469769876
100.0,1.45,331.84290982751605
100.0,1.44,331.961139085255
100.0,1.43,332.07888550243877
100.0,1.42,332.1961001056548
100.0,1.41,332.3127341607247
100.0,1.4,332.4287391377484
100.0,1.39,332.54406667628166
100.0,1.38,332.6586685505994
100.0,1.37,332.77249663503625
100.0,1.36,332.8855028693475
100.0,1.35,332.9976392240617
100.0,1.34,333.1088576657838
100.0,1.33,333.2191101224092
100.0,1.32,333.3283484482105
100.0,1.31,333.43652438873886
100.0,1.3,333.54358954552157
100.0,1.29,333.6494953404738
100.0,1.28,333.75419298000804
100.0,1.27,333.85763341876964
100.0,1.26,333.9597673229556
100.0,1.25,334.0605450331569
100.0,1.24,334.15991652667714
100.0,1.23,334.2578313792523
100.0,1.22,334.3542387261247
100.0,1.21,334.44908722240393
100.0,1.2,334.5423250026391
100.0,1.19,334.63389963954745
100.0,1.18,334.7237581018144
100.0,1.17,334.8118467108925
100.0,1.16,334.89811109672445
100.0,1.15,334.98249615229764
100.0,1.14,335.0649459869467
100.0,1.13,335.14540387831653
100.0,1.12,335.2238122228778
100.0,1.11,335.3001124848985
100.0,1.1,335.3742451437719
100.0,1.09,335.4461496395592
100.0,1.08,335.5157643166654
100.0,1.07,335.5830263654844
100.0,1.06,335.64787176190345
100.0,1.05,335.71023520450535
100.0,1.04,335.77005004932835
100.0,1.03,335.8272482420188
100.0,1.02,335.88176024719127
100.0,1.01,335.9335149748457
100.0,1.0,335.9824397035977
100.0,0.99,336.0284600005641
100.0,0.98,336.07149963763965
100.0,0.97,336.11148050395445
100.0,0.96,336.148322514237
100.0,0.95,336.1819435128335
100.0,0.94,336.21225917306316
100.0,0.93,336.23918289161577
100.0,0.92,336.26262567765195
100.0,0.91,336.2824960362372
100.0,0.9,336.2986998457207
100.0,0.89,336.31114022864864
100.0,0.88,336.31971741574847
100.0,0.87,336.3243286025024
100.0,0.86,336.3248677977826
100.0,0.85,336.3212256639823
100.0,0.84,336.31328934800797
100.0,0.83,336.30094230249597
100.0,0.82,336.2840640965064
