T,phi1,phi2,phi3,Phi1,Phi2,rhov
300.0,-0.015260665980566525,-0.015260665980566527,-0.4040806957232767,0.8405791828841954,0.8405791828841954,-1.5003825615109783e-16
299.0,-0.015732346228805663,-0.015732346228805663,-0.4152300550985948,0.8394160368169165,0.8394160368169165,-2.380368595560932e-17
298.0,-0.01621253208463178,-0.01621253208463178,-0.4265031241418266,0.8382409969139855,0.8382409969139855,-3.7847457800712375e-18
297.0,-0.016701490214170084,-0.01670149021417008,-0.43790040353701093,0.8370538892630645,0.8370538892630645,-6.419080058896237e-19
296.0,-0.017199498894691044,-0.017199498894691048,-0.4494223171118052,0.8358545365403002,0.8358545365403002,-5.935379866047292e-20
295.0,-0.017706848626644504,-0.017706848626644504,-0.4610692066751442,0.8346427579416565,0.8346427579416565,-5.654166476551012e-20
294.0,-0.01822384278267778,-0.01822384278267778,-0.4728413267166194,0.8334183691137184,0.8334183691137184,6.677409608152188e-20
293.0,-0.018750798296207655,-0.01875079829620765,-0.4847388389799837,0.8321811820836469,0.8321811820836469,-2.3965340845897525e-20
292.0,-0.019288046392295064,-0.019288046392295085,-0.4967618069245132,0.8309310051887312,0.8309310051887312,2.19684927645791e-20
291.0,-0.01983593336384,-0.01983593336384003,-0.5089101900909337,0.829667643005106,0.829667643005106,2.799914987679663e-20
290.0,-0.020394821396327496,-0.02039482139632755,-0.5211838383903787,0.8283908962759506,0.8283908962759506,2.6001118114804202e-20
289.0,-0.020965089444664516,-0.020965089444664502,-0.5335824863376809,0.8271005618389246,0.8271005618389246,-6.911010724665153e-21
288.0,-0.021547134165936302,-0.021547134165936295,-0.5461057472526774,0.8257964325528478,0.8257964325528478,7.499318469767685e-20
287.0,-0.0221413709122524,-0.022141370912252396,-0.5587531074557038,0.8244782972236098,0.8244782972236098,-5.2759348355405733e-20
286.0,-0.02274823478822496,-0.022748234788224977,-0.571523920486226,0.8231459405292101,0.8231459405292101,-3.809652881960336e-20
285.0,-0.023368181778049946,-0.023368181778049918,-0.5844174013763382,0.8217991429436554,0.8217991429436554,-4.299245032849331e-23
284.0,-0.024001689947579764,-0.02400168994757976,-0.5974326210128634,0.8204376806599647,0.8204376806599647,7.298553049718439e-20
283.0,-0.02464926072734749,-0.024649260727347518,-0.6105685006254052,0.8190613255115862,0.8190613255115862,-2.3511468387038808e-20
282.0,-0.02531142028299173,-0.025311420282991732,-0.6238238064389369,0.8176698448925569,0.8176698448925569,1.0296212535946199e-20
281.0,-0.025988720980226674,-0.025988720980226677,-0.6371971445330199,0.8162630016757094,0.8162630016757094,8.535134927961461e-20
280.0,-0.02668174295213954,-0.02668174295213961,-0.6506869559507602,0.8148405541290694,0.8148405541290694,2.751854584314224e-20
279.0,-0.02739109577741854,-0.027391095777418537,-0.6642915121034569,0.8134022558298141,0.8134022558298141,-2.3680728704318543e-20
278.0,-0.028117420278949454,-0.028117420278949454,-0.6780089105178219,0.811947855575596,0.811947855575596,-2.1801299144106397e-20
277.0,-0.028861390453195076,-0.028861390453195072,-0.6918370709741297,0.8104770972928161,0.8104770972928161,3.9735248974157584e-20
276.0,-0.029623715541849588,-0.02962371554184957,-0.7057737320845378,0.8089897199413043,0.8089897199413043,-3.7186302272670916e-20
275.0,-0.030405142258449994,-0.030405142258449994,-0.7198164483608894,0.8074854574150478,0.8074854574150478,1.0205786304024413e-20
274.0,-0.03120645718399229,-0.031206457183992318,-0.7339625878215021,0.8059640384382591,0.8059640384382591,1.8807364121305535e-20
273.0,-0.032028489347087345,-0.03202848934708736,-0.7482093301853586,0.8044251864562969,0.8044251864562969,-3.501302466172145e-20
272.0,-0.03287211300590147,-0.03287211300590148,-0.7625536657011202,0.8028686195206154,0.8028686195206154,4.232097443291441e-20
271.0,-0.03373825065099931,-0.03373825065099931,-0.7769923946559986,0.8012940501671764,0.8012940501671764,-3.3917170061650887e-20
270.0,-0.03462787625036706,-0.03462787625036707,-0.7915221276072977,0.7997011852873507,0.7997011852873507,-4.2452941635946207e-20
269.0,-0.03554201876025792,-0.03554201876025793,-0.806139286375673,0.7980897259906128,0.7980897259906128,-6.69363105556358e-22
268.0,-0.036481765928234905,-0.03648176592823493,-0.8208401058355301,0.7964593674579257,0.7964593674579257,-4.729858205057629e-20
267.0,-0.037448268417801474,-0.03744826841780145,-0.8356206365328885,0.7948097987849739,0.7948097987849739,-2.4552385029095668e-20
266.0,-0.03844274428746592,-0.03844274428746589,-0.8504767481559727,0.7931407028140812,0.7931407028140812,-1.2006154230840053e-20
265.0,-0.039466483860964616,-0.039466483860964616,-0.8654041338776886,0.7914517559537443,0.7914517559537443,8.620524975967246e-20
264.0,-0.040520855029773775,-0.04052085502977382,-0.8803983155826374,0.7897426279845233,0.7897426279845233,-8.458808875823555e-21
263.0,-0.04160730903401946,-0.041607309034019324,-0.8954546499842194,0.7880129818501471,0.7880129818501471,6.580983117649419e-20
262.0,-0.04272738677359602,-0.04272738677359602,-0.9105683356304,0.7862624734322671,0.7862624734322671,-2.0038007429619423e-20
261.0,-0.04388272570770699,-0.04388272570770699,-0.9257344207883158,0.7844907513077429,0.7844907513077429,-4.0123967833472876e-20
260.0,-0.04507506740844729,-0.04507506740844727,-0.940947812190958,0.7826974564867026,0.7826974564867026,-4.7341602993148594e-20
259.0,-0.04630626584241003,-0.04630626584241008,-0.9562032846206036,0.780882222129948,0.780882222129948,-2.6711192577244105e-20
258.0,-0.04757829646392512,-0.04757829646392512,-0.9714954912964159,0.7790446732439837,0.7790446732439837,7.70452164845239e-21
257.0,-0.0488932662145442,-0.0488932662145442,-0.9868189750259717,0.7771844263519264,0.7771844263519264,-1.3792089280426076e-20
256.0,-0.050253424536052756,-0.05025342453605276,-1.0021681800736304,0.7753010891383492,0.7753010891383492,-6.71397038044218e-20
255.0,-0.05166117551884148,-0.051661175518841536,-1.017537464692221,0.7733942600660542,0.7733942600660542,-1.9363603384389174e-20
254.0,-0.05311909132426968,-0.05311909132426972,-1.0329211142588213,0.7714635279626232,0.7714635279626232,-8.439834321151966e-21
253.0,-0.05462992703908606,-0.05462992703908602,-1.0483133549508612,0.769508471574326,0.769508471574326,2.269845193527722e-20
252.0,-0.056196637142470814,-0.05619663714247091,-1.0637083678951431,0.7675286590847633,0.7675286590847633,4.4889975355047205e-20
251.0,-0.057822393792374076,-0.05782239379237408,-1.079100303719781,0.7655236475954628,0.7655236475954628,8.964708050374562e-21
250.0,-0.059510607168279724,-0.059510607168279744,-1.0944832974383736,0.7634929825651388,0.7634929825651388,2.3424098013178482e-20
249.0,-0.061264948142965764,-0.06126494814296578,-1.1098514835959858,0.7614361972040892,0.7614361972040892,1.9676187848189664e-20
248.0,-0.0630893735973615,-0.0630893735973615,-1.1251990116086028,0.7593528118197137,0.7593528118197137,-2.908965280074757e-20
247.0,-0.06498815474125687,-0.0649881547412569,-1.1405200612319384,0.7572423331084012,0.7572423331084012,8.217270634946006e-22
246.0,-0.06696590885978243,-0.06696590885978244,-1.1558088581007777,0.7551042533886381,0.7551042533886381,-1.1035095278303375e-20
245.0,-0.06902763497299048,-0.06902763497299053,-1.171059689288357,0.7529380497690187,0.7529380497690187,-2.917750417166644e-20
244.0,-0.07117875397545591,-0.07117875397545595,-1.1862669188450503,0.7507431832440049,0.7507431832440049,-3.792386920598457e-20
243.0,-0.0734251539170495,-0.07342515391704948,-1.2014250032879634,0.7485190977090923,0.7485190977090923,-2.2283021437855063e-20
242.0,-0.07577324119806682,-0.07577324119806694,-1.2165285070286833,0.7462652188851128,0.7462652188851128,1.795582316029485e-20
241.0,-0.07822999858504483,-0.07822999858504483,-1.2315721177437753,0.7439809531400849,0.7439809531400849,-4.9672307147044806e-20
240.0,-0.08080305111277364,-0.08080305111277364,-1.2465506617148812,0.7416656861940695,0.7416656861940695,2.9030322738673555e-20
239.0,-0.08350074112828401,-0.08350074112828401,-1.261459119190085,0.7393187816901964,0.7393187816901964,-3.1725007837958334e-20
238.0,-0.08633221396102095,-0.08633221396102084,-1.2762926398490786,0.7369395796109315,0.7369395796109315,-3.734937619263885e-21
237.0,-0.08930751597806703,-0.08930751597806709,-1.2910465584901445,0.7345273945145688,0.7345273945145688,-9.563039915542355e-21
236.0,-0.0924377071143737,-0.09243770711437374,-1.3057164111001884,0.7320815135612758,0.7320815135612758,1.7209998847422384e-20
235.0,-0.09573499036809546,-0.09573499036809534,-1.3202979515210158,0.729601194290906,0.729601194290906,1.7775835480479468e-21
234.0,-0.09921286123541871,-0.09921286123541873,-1.3347871689877395,0.7270856621062742,0.7270856621062742,4.498358953847094e-20
233.0,-0.10288628064670244,-0.10288628064670269,-1.349180306892557,0.7245341074041795,0.7245341074041795,6.1866884650155145e-21
232.0,-0.10677187567902027,-0.10677187567902006,-1.3634738832222302,0.7219456822825208,0.7219456822825208,2.974302030242758e-20
231.0,-0.11088817318702236,-0.11088817318702239,-1.3776647132363535,0.7193194967335838,0.7193194967335838,2.2684878966241603e-20
230.0,-0.1152558725475344,-0.11525587254753437,-1.3917499351024947,0.7166546142103262,0.7166546142103262,-2.0020724551629432e-20
229.0,-0.119898164992301,-0.11989816499230095,-1.4057270393926442,0.7139500464224069,0.7139500464224069,-2.2409553777377722e-20
228.0,-0.12484110855245688,-0.12484110855245702,-1.4195939035853105,0.7112047471796049,0.7112047471796049,-3.122339717148515e-20
227.0,-0.13011406950631518,-0.13011406950631513,-1.4333488330240578,0.7084176050494494,0.7084176050494494,-2.1214694319607364e-20
226.0,-0.13575024345831388,-0.1357502434583141,-1.446990610177638,0.7055874345290373,0.7055874345290373,-2.0240587141738412e-20
225.0,-0.14178727182279194,-0.14178727182279183,-1.4605185545541723,0.702712965343503,0.702712965343503,1.520995825817947e-20
224.0,-0.14826797255960467,-0.14826797255960467,-1.4739325962767378,0.6997928293681356,0.6997928293681356,-2.152639066453145e-20
223.0,-0.1552412074735981,-0.1552412074735981,-1.4872333671715403,0.6968255445183655,0.6968255445183655,-7.024091219778937e-21
222.0,-0.16276291210235036,-0.16276291210235058,-1.5004223143033038,0.6938094947504444,0.6938094947504444,-2.9711259876699284e-20
221.0,-0.1708973178284695,-0.17089731782846967,-1.5135018422726414,0.690742905049442,0.690742905049442,9.422448983180643e-21
220.0,-0.1797183986433851,-0.179718398643385,-1.5264754923237194,0.6876238099319613,0.6876238099319613,2.0259466730264384e-21
219.0,-0.18931157557946907,-0.18931157557946932,-1.5393481684349422,0.6844500135365891,0.6844500135365891,2.796304577325637e-20
218.0,-0.1997757076933901,-0.19977570769338948,-1.552126423060958,0.6812190387943217,0.6812190387943217,-1.4435696103424742e-21
217.0,-0.21122538516494396,-0.2112253851649441,-1.5648188179007982,0.6779280624502446,0.6779280624502446,-2.3217142976235886e-20
216.0,-0.22379350991054,-0.22379350991053984,-1.5774363775278348,0.674573831859558,0.674573831859558,4.6990587867624794e-20
215.0,-0.23763408934320593,-0.23763408934320618,-1.5899931548815456,0.671152558581688,0.671152558581688,1.8187906443616833e-20
214.0,-0.2529250591312253,-0.2529250591312255,-1.6025069253218511,0.6676597830593334,0.6676597830593334,-3.388752688694859e-21
213.0,-0.2698707602280318,-0.26987076022803197,-1.6150000160316949,0.664090204580531,0.664090204580531,2.7125183749446316e-20
212.0,-0.28870338208488666,-0.2887033820848864,-1.6275002526162978,0.6604374722642729,0.6604374722642729,-1.4637730343356746e-20
211.0,-0.3096822015285384,-0.3096822015285381,-1.6400419527019203,0.6566939377892679,0.6566939377892679,-2.0799342086977584e-20
210.0,-0.3330887724823271,-0.33308877248232716,-1.6526668000758944,0.6528503819483032,0.6528503819483032,-3.0071223202645686e-20
209.0,-0.3592154286005019,-0.35921542860050204,-1.6654242746413481,0.6488957488426812,0.6488957488426812,2.2135898510327145e-20
208.0,-0.3883438614557486,-0.38834386145574873,-1.6783710913364667,0.6448169570200728,0.6448169570200728,-4.651630098338306e-21
207.0,-0.42071087988376166,-0.4207108798837619,-1.6915688684407921,0.640598903780621,0.640598903780621,-1.1736609434666943e-22
206.0,-0.45646098905568927,-0.4564609890556892,-1.7050791705561739,0.6362248192272151,0.6362248192272151,-2.6968218521547353e-24
205.0,-0.4955913248135989,-0.49559132481359763,-1.718955463479117,0.631677116789601,0.631677116789601,-5.901043892817713e-26
204.0,-0.5379030783268917,-0.5379030783268902,-1.733232677312533,0.6269387674541541,0.6269387674541541,-1.2254019026332003e-27
203.0,-0.5829801539554307,-0.5829801539554303,-1.7479168455140945,0.6219949771216687,0.6219949771216687,-1.2527922932026695e-22
202.0,-0.6302126262154156,-0.6302126262154149,-1.7629786245923118,0.616834676310168,0.616834676310168,2.580032752497318e-21
201.0,-0.6788660114302221,-0.6788660114302223,-1.7783539162401922,0.6114512602207403,0.6114512602207403,4.4733506198246716e-23
