T,rho_B,mu_B,P
50.0,1.03,1079.7499856094983,21.595733430351025
50.0,1.04,1079.055292057026,21.59515043968389
50.0,1.05,1078.3584549761015,21.59456000013855
50.0,1.06,1077.6596277783437,21.59396220818535
50.0,1.07,1076.958963205841,21.59335716344824
50.0,1.08,1076.2566134825636,21.592744968815115
50.0,1.09,1075.5527304636917,21.592125730552294
50.0,1.1,1074.8474657832185,21.591499558423706
50.0,1.11,1074.140971000111,21.590866565814583
50.0,1.12,1073.4333977432711,21.59022686986008
50.0,1.13,1072.724897855674,21.589580591579104
50.0,1.14,1072.0156235378058,21.588927856013218
50.0,1.15,1071.3057274908306,21.588268792371082
50.0,1.16,1070.595363059541,21.587603534178687
50.0,1.17,1069.8846843754927,21.586932219435365
50.0,1.18,1069.173846500487,21.586254990775984
50.0,1.19,1068.4630055705875,21.585571995639576
50.0,1.2,1067.7523189409696,21.584883386444442
50.0,1.21,1067.0419453317375,21.584189320770225
50.0,1.22,1066.3320449749833,21.583489961547006
50.0,1.23,1065.62277976318,21.582785477251786
50.0,1.24,1064.914313399213,21.582076042112508
50.0,1.25,1064.2068115481443,21.581361836320102
50.0,1.26,1063.500441990935,21.58064304624834
50.0,1.27,1062.7953747802212,21.579919864682488
50.0,1.28,1062.0917823983866,21.57919249105622
50.0,1.29,1061.3898399180018,21.578461131697658
50.0,1.3,1060.6897251647918,21.577726000084507
50.0,1.31,1059.9916188832558,21.576987317108554
50.0,1.32,1059.2957049050344,21.576245311349897
50.0,1.33,1058.6021703201218,21.575500219360986
50.0,1.34,1057.9112056509957,21.574752285960805
50.0,1.35,1057.2230050297067,21.57400176453929
50.0,1.36,1056.5377663779993,21.573248917372375
50.0,1.37,1055.855691590426,21.57249401594747
50.0,1.38,1055.176986720479,21.571737341299933
50.0,1.39,1054.5018621696604,21.57097918436016
50.0,1.4,1053.8305328794413,21.57021984631184
50.0,1.41,1053.163218525987,21.569459638961014
50.0,1.42,1052.5001437174335,21.568698885115882
50.0,1.43,1051.8415381936384,21.567937918977695
50.0,1.44,1051.1876370280117,21.56717708654193
50.0,1.45,1050.53868083119,21.56641674600998
50.0,1.46,1049.8949159561894,21.56565726821072
50.0,1.47,1049.25659470452,21.564899037031605
50.0,1.48,1048.623975532841,21.56414244985871
50.0,1.49,1047.9973232594136,21.563387918025057
50.0,1.5,1047.3769092698458,21.562635867266195
50.0,1.51,1046.7630117210804,21.561886738182228
50.0,1.52,1046.1559157429517,21.56114098670498
50.0,1.53,1045.5559136361016,21.560399084568857
50.0,1.54,1044.963305065186,21.559661519783894
50.0,1.55,1044.3783972460114,21.55892879710904
50.0,1.56,1043.8015051251753,21.558201438523522
50.0,1.57,1043.232951550521,21.55747998369391
50.0,1.58,1042.6730674307182,21.55676499043407
50.0,1.59,1042.1221918817992,21.556057035155035
50.0,1.6,1041.5806723586466,21.555356713301148
50.0,1.61,1041.0488647688744,21.55466463976874
50.0,1.62,1040.5271335666064,21.55398144930305
50.0,1.63,1040.015851823166,21.553307796868516
50.0,1.64,1039.5154012717094,21.552644357987504
50.0,1.65,1039.0261723224387,21.55199182904135
50.0,1.66,1038.5485640447444,21.551350927527917
50.0,1.67,1038.0829841126429,21.550722392268753
50.0,1.68,1037.6298487092513,21.550106983558315
50.0,1.69,1037.189582386192,21.549505483247895
50.0,1.7,1036.7626178734135,21.54891869475559
50.0,1.71,1036.3493958346628,21.548347442993506
50.0,1.72,1035.95036456394,21.54779257420289
50.0,1.73,1035.5659796178634,21.547254955687393
50.0,1.74,1035.1967033790286,21.546735475434247
50.0,1.75,1034.8430045452799,21.546235041613084
50.0,1.76,1034.5053575399768,21.545754581941388
50.0,1.77,1034.1842418384063,21.545295042906293
50.0,1.78,1033.880141205786,21.544857388831574
50.0,1.79,1033.5935428426133,21.544442600779806
