T,mu_B,S,chi_TT,rho,chi_mumu,chi_Tmu,P,Cv,Cp,cs,Xi2,eta_s,zeta_s
121.03,873.4283499999999,0.5622533134699608,10.257260896252895,0.0678705788497469,0.1697383629988407,1.1721794014845317,21.641653459228376,1.326296276651407,1.52409723844211,0.04833023897794983,1.276199333905304,3.5010113694866787,0.3700022519105926
121.04,873.4283499999999,0.562773420894312,10.269302016712494,0.06793001603593737,0.16993367336645604,1.1735689970830876,21.641681965452282,1.3277325824329085,1.525825733938682,0.048316031721803626,1.2765863647991353,3.496636701292027,0.3700868278593403
121.05,873.4283499999999,0.5632941390233956,10.28136297583039,0.06798952370414368,0.17012933697063415,1.174961045742993,21.64171049804891,1.3291708154059094,1.5275567746872145,0.048301811265573556,1.2769740034669383,3.4922649786456437,0.3701715442529913
121.06,873.4283499999999,0.5638154688637087,10.293443820756103,0.06804910197883826,0.1703253547622402,1.1763555537960064,21.641739057049207,1.3306109791181788,1.529290366106067,0.048287577591325875,1.2773622512341718,3.4878962005101783,0.3702564014238231
121.07,873.4283499999999,0.5643374114242454,10.305544598794313,0.06810875098481642,0.17052172769562335,1.1777525275961747,21.641767642484215,1.3320530771270669,1.5310265136312284,0.0482733306810937,1.2777511094306482,3.4835303658476753,0.37034139970544105
121.08,873.4283499999999,0.5648599677163064,10.317665357403406,0.06816847084719146,0.17071845672861719,1.1791519735197724,21.641796254385014,1.3334971129991555,1.5327652227154502,0.0482590705168682,1.2781405793905611,3.479167473619938,0.37042653943267545
121.09,873.4283499999999,0.565383138753627,10.329806144199388,0.06822826169141044,0.17091554282256838,1.1805538979655266,21.64182489278271,1.3349430903115913,1.534506498829551,0.048244797080598326,1.2785306624524984,3.4748075227872195,0.37051182094151847
121.1,873.4283499999999,0.5659069255524227,10.341967006952167,0.06828812364323142,0.17111298694231702,1.1819583073548614,21.64185355770851,1.336391012647161,1.53625034745783,0.048230510354204115,1.2789213599594629,3.4704505123098577,0.3705972445693705
121.11,873.4283499999999,0.5664313291312819,10.35414799358935,0.06834805682875333,0.17131079005627003,1.1833652081316606,21.641882249193635,1.337840883600788,1.5379967741044174,0.048216210319561456,1.2793126732588962,3.466096441146899,0.3706828106548154
121.12,873.4283499999999,0.566956350511191,10.366349152197373,0.06840806137438457,0.1715089531363787,1.184774606762728,21.641910967269357,1.33929270677567,1.5397457842895599,0.048201896958498844,1.2797046037026916,3.461745308257688,0.3707685195376867
121.13,873.4283499999999,0.5674819907156494,10.378570531019314,0.06846813740688762,0.17170747715814116,1.1861865097376008,21.641939711967023,1.3407464857835951,1.5414973835491963,0.04818757025281764,1.2800971526472178,3.457397112598607,0.37085437155903983
121.14,873.4283499999999,0.5680082507705695,10.390812178457494,0.06852828505332062,0.1719063631006783,1.187600923568823,21.641968483318003,1.3422022242464515,1.5432515774386437,0.048173230184275204,1.2804903214533396,3.453051853128646,0.37094036706143163
121.15000000000002,873.4283499999999,0.5685351317043215,10.403074143074832,0.06858850444110651,0.1721056119466643,1.189017854791934,21.641997281353753,1.3436599257951174,1.5450083715283582,0.04815887673458669,1.2808841114864338,3.4487095288023806,0.3710265063883814
121.16,873.4283499999999,0.5690626345477381,10.415356473593434,0.06864879569797191,0.1723052246824356,1.1904373099656915,21.642026106105767,1.3451195940699088,1.546767771407588,0.04814450988543058,1.2812785241164117,3.444370138576739,0.37111278988497615
121.17000000000002,873.4283499999999,0.569590760334119,10.427659218897908,0.06870915895199489,0.1725052022979493,1.1918592956723568,21.642054957605556,1.3465812327189826,1.5485297826801085,0.04813012961843685,1.2816735607177416,3.440033681405911,0.3711992178973707
121.18000000000002,873.4283499999999,0.570119510099286,10.439982428031932,0.06876959433158333,0.17270554578680508,1.1932838185170747,21.642083835884748,1.3480448454021248,1.550294410970348,0.04811573591521286,1.2820692226694634,3.4357001562440352,0.37128579077323304
121.19,873.4283499999999,0.5706488848815217,10.452326150204087,0.06883010196547573,0.17290625614629096,1.194710885128849,21.642112740974955,1.3495104357874097,1.552061661918686,0.04810132875731155,1.2824655113552126,3.4313695620447207,0.371372508861432
121.20000000000002,873.4283499999999,0.5711788857215749,10.464690434784437,0.06889068198274736,0.17310733437737424,1.1961405021601585,21.642141672907925,1.350978007552103,1.5538315411827275,0.04808690812624824,1.282862428163242,3.427041897760901,0.3714593725121772
121.21,873.4283499999999,0.571709513662757,10.477075331307645,0.06895133451281713,0.1733087814847052,1.1975726762871677,21.642170631715377,1.3524475643828855,1.555604054437371,0.04807247400350118,1.2832599744864377,3.4227171623438033,0.37154638207695356
121.22000000000001,873.4283499999999,0.5722407697508447,10.489480889472752,0.06901205968543753,0.1735105984766907,1.199007414209838,21.642199617429114,1.3539191099769485,1.5573792073766206,0.0480580263705033,1.2836581517223453,3.4183953547449746,0.3716335379086311
121.22999999999999,873.4283499999999,0.5727726550342278,10.501907159143528,0.06907285763070053,0.17371278636545884,1.2004447226521444,21.64222863008103,1.3553926480393321,1.5591570057105308,0.0480435652086555,1.2840569612731845,3.4140764739149247,0.37172084036147635
121.24,873.4283499999999,0.5733051705636387,10.51435419035024,0.06913372847905144,0.1739153461669003,1.201884608361973,21.642257669702982,1.356868182286103,1.5609374551674544,0.048029090499300285,1.2844564045458768,3.409760518802526,0.37180828979084063
121.25000000000001,873.4283499999999,0.5738383173925965,10.526822033289172,0.0691946723612599,0.17411827890066944,1.2033270781113323,21.64228673632699,1.3583457164422963,1.5627205614945687,0.04801460222376361,1.2848564829520606,3.4054474883572046,0.37189588655379063
