T,mu_B,chi21,chi31,chi42
300.0,800.0000000000001,0.42800517076612077,0.05918992746175716,0.051070349389406924
298.0,800.0000000000001,0.425717273672091,0.05901381923030583,0.05083240519607422
296.0,800.0000000000001,0.42342775787151926,0.05883154763780645,0.05058659807429314
294.0,800.0000000000001,0.4211365310835016,0.05864315203219621,0.05032563369614501
292.0,800.0000000000001,0.418843458242058,0.05844839139563045,0.050066548227574
290.0,800.0000000000001,0.41654843865402286,0.058247542010537424,0.04979686472366662
288.0,800.0000000000001,0.41425141592438275,0.05804036454448108,0.04952474871636544
286.0,800.0000000000001,0.41195223827918465,0.05782631059706118,0.0492367024965557
284.0,800.0000000000001,0.4096508182247847,0.05760587451596057,0.04894197858552004
282.0,800.0000000000001,0.40734702061927264,0.05737810016423745,0.048631153019562376
280.0,800.0000000000001,0.40504069723340946,0.057143773249055625,0.048328123659368886
278.0,800.0000000000001,0.4027318014564013,0.056902297186840714,0.048000386822600376
276.0,800.0000000000001,0.4004201629803197,0.05665363332435091,0.04766826280235894
274.0,800.0000000000001,0.39810568890766845,0.05639759710080896,0.04731476080440183
272.0,800.0000000000001,0.39578821464453484,0.05613431130476424,0.04696323721032744
270.0,800.0000000000001,0.3934676371639179,0.05586335916067447,0.04659408815523344
268.0,800.0000000000001,0.3911437982388337,0.05558474930406333,0.0462155880013772
266.0,800.0000000000001,0.38881660058563705,0.05529838854394831,0.04582468063330945
264.0,800.0000000000001,0.38648587493307407,0.0550039926768619,0.045421247746687834
262.0,800.0000000000001,0.38415153234180366,0.054701816511263525,0.04500171183853931
260.0,800.0000000000001,0.3818133898235283,0.054391696456857035,0.04456809910687672
258.0,800.0000000000001,0.3794713109810424,0.05407307866576214,0.044129772980826626
256.0,800.0000000000001,0.37712520844214525,0.05374633897861663,0.043669250564922095
254.0,800.0000000000001,0.37477487364379125,0.053411030364024184,0.04320127963448873
252.0,800.0000000000001,0.37242019555047373,0.05306745534469725,0.04271517559885122
250.0,800.0000000000001,0.37006105507741244,0.052715398556890364,0.04221196191838265
248.0,800.0000000000001,0.3676972763453194,0.052354715265995666,0.04169219066630087
246.0,800.0000000000001,0.3653287667891085,0.05198530450491078,0.04115595703228541
244.0,800.0000000000001,0.36295535864469,0.051607247381600066,0.04060060663432579
242.0,800.0000000000001,0.3605769336308567,0.051220368111493275,0.04002773902047788
240.0,800.0000000000001,0.35819336138168084,0.050824746390991576,0.03943953352154458
238.0,800.0000000000001,0.3558045236082334,0.0504203262743302,0.03882802278629402
236.0,800.0000000000001,0.3534102926261333,0.050007083809378176,0.03819697195986713
234.0,800.0000000000001,0.3510105628978803,0.04958503687891588,0.037548863007476216
