rho_B,mu_B,eB
0.01,951.4946961004266,0.3
0.02,969.9855224304947,0.3
0.03,979.8407106005466,0.3
0.04,986.1576395472173,0.3
0.05,990.534067178812,0.3
0.06,993.6819497640544,0.3
0.07,995.9813230256252,0.3
0.08,997.6592706491178,0.3
0.09,998.8624939656397,0.3
0.1,999.6913785003273,0.3
0.11,1000.217737015738,0.3
0.12,1000.494799338684,0.3
0.13,1000.5631896035366,0.3
0.14,1000.4546818736568,0.3
0.15,1000.1946567342827,0.3
0.16,999.803763253192,0.3
0.17,999.2990760387078,0.3
0.18,998.6949209131737,0.3
0.19,998.0034769059289,0.3
0.2,997.2352235239426,0.3
0.21,996.3992786656149,0.3
0.22,995.5036577457179,0.3
0.23,994.5554750713608,0.3
0.24,993.5611032462531,0.3
0.25,992.526294653625,0.3
0.26,991.4562899047734,0.3
0.27,990.3558942411382,0.3
0.28,989.2295459105964,0.3
0.29,988.0813710552244,0.3
0.3,986.9152290511792,0.3
0.31,985.7347501192388,0.3
0.32,984.5433666070909,0.3
0.33,983.3443390287991,0.3
0.34,982.1407777054865,0.3
0.35,980.9356606649832,0.3
0.36,979.7318483130272,0.3
0.37,978.5320952746008,0.3
0.38,977.3390597138404,0.3
0.39,976.1553103692692,0.3
0.4,974.9833314840155,0.3
0.41,973.8255257652132,0.3
0.42,972.6842154708994,0.3
0.43,971.5616416947648,0.3
0.44,970.4599618980623,0.3
0.45,969.3812457229569,0.3
0.46,968.3274691120321,0.3
0.47,967.3005067543396,0.3
0.48,966.3021228789801,0.3
0.49,965.3339604228281,0.3
0.5,964.3975286098647,0.3
0.51,963.49418899615,0.3
0.52,962.6251400571578,0.3
0.53,961.7914004241346,0.3
0.54,960.9937909136004,0.3
0.55,960.2329155400989,0.3
0.56,959.509141756281,0.3
0.57,958.8225802257474,0.3
0.58,958.1730645003114,0.3
0.59,957.5601310412918,0.3
0.6,956.9829987476064,0.3
0.61,956.4405564283531,0.3
0.62,955.9313396076404,0.3
0.63,955.4535223149458,0.3
0.64,955.0049062566397,0.3
0.65,954.5829151881647,0.3
0.66,954.1845940413449,0.3
0.67,953.8066135264507,0.3
0.68,953.4452809229214,0.3
0.69,953.0965594254711,0.3
0.7,952.7560862578504,0.3
0.71,952.4192164239392,0.3
0.72,952.081056354959,0.3
0.73,951.7365145341457,0.3
0.74,951.3803573750578,0.3
0.75,951.0072710552118,0.3
0.76,950.6119276804174,0.3
0.77,950.1890537698436,0.3
0.78,949.733498800228,0.3
0.79,949.2403014626611,0.3
0.8,948.704751375615,0.3
0.81,948.122446407932,0.3
0.82,947.4893310786886,0.3
0.83,946.8017468871515,0.3
0.84,946.0564516042364,0.3
0.85,945.2506386800501,0.3
0.86,944.3819446955688,0.3
0.87,943.4484475533704,0.3
0.88,942.4486563926397,0.3
0.89,941.3814944361675,0.3
0.9,940.2462751669707,0.3
0.91,939.0426790764724,0.3
0.92,937.7707171092238,0.3
0.93,936.4307031270515,0.3
0.94,935.0232201122772,0.3
0.95,933.549087848581,0.3
0.96,932.0093316753312,0.3
0.97,930.4051529042624,0.3
0.98,928.7379013211511,0.3
0.99,927.0090500458474,0.3
1.0,925.2201728970066,0.3
1.01,923.3729243030324,0.3
1.02,921.4690217186638,0.3
1.03,919.5102304445849,0.3
1.04,917.4983507042491,0.3
1.05,915.4352068032433,0.3
1.06,913.3226381809392,0.3
1.07,911.1624921577294,0.3
1.08,908.9566181825542,0.3
1.09,906.7068633918101,0.3
1.1,904.4150693009562,0.3
1.11,902.0830694623984,0.3
1.12,899.7126879365835,0.3
1.13,897.3057384368487,0.3
1.14,894.8640240213113,0.3
1.15,892.3893372173003,0.3
1.16,889.88346047401,0.3
1.17,887.3481668481753,0.3
1.18,884.7852208346521,0.3
1.19,882.196379259422,0.3
1.2,879.5833921566484,0.3
1.21,876.9480035545954,0.3
1.22,874.2919520974872,0.3
1.23,871.6169714325787,0.3
1.24,868.9247902943721,0.3
1.25,866.2171322211688,0.3
1.26,863.4957148441824,0.3
1.27,860.7622486962038,0.3
1.28,858.0184354958305,0.3
1.29,855.2659658749066,0.3
1.3,852.5065165308242,0.3
1.31,849.7417468017974,0.3
1.32,846.9732946817363,0.3
1.33,844.2027723112006,0.3
1.34,841.4317610017849,0.3
1.35,838.6618058718475,0.3
1.36,835.8944101912111,0.3
1.37,833.1310295500684,0.3
1.38,830.3730659820118,0.3
1.39,827.6218621815888,0.3
1.4,824.8786959629016,0.3
1.41,822.1447751060828,0.3
1.42,819.4212327333805,0.3
1.43,816.7091233455249,0.3
1.44,814.0094196325459,0.3
1.45,811.3230101519783,0.3
1.46,808.6506979417998,0.3
1.47,805.9932001077485,0.3
1.48,803.3511483950684,0.3
1.49,800.7250907256397,0.3
1.5,798.115493653732,0.3
1.51,795.5227456689965,0.3
1.52,792.9471612543744,0.3
1.53,790.3889855906235,0.3
1.54,787.8483997883556,0.3
1.55,785.3255265225545,0.3
1.56,782.8204359442426,0.3
1.57,780.3331517475212,0.3
1.58,777.8636572778427,0.3
1.59,775.4119015783203,0.3
1.6,772.9778052830577,0.3
1.61,770.5612662809664,0.3
1.62,768.1621650875761,0.3
1.63,765.7803698769869,0.3
1.64,763.4157411392682,0.3
1.65,761.068135941467,0.3
1.66,758.7374117811798,0.3
1.67,756.4234300314496,0.3
1.68,754.1260589838013,0.3
1.69,751.8451765028545,0.3
1.7,749.5806723112701,0.3
1.71,747.3324499278973,0.3
1.72,745.1004282852084,0.3
1.73,742.8845430541337,0.3
1.74,740.6847477062743,0.3
1.75,738.5010143444346,0.3
1.76,736.3333343331592,0.3
1.77,734.1817187614668,0.3
1.78,732.0461987700858,0.3
1.79,729.9268257756422,0.3
1.8,727.8236716240946,0.3
1.81,725.7368287051934,0.3
1.82,723.6664100592166,0.3
1.83,721.6125495061925,0.3
1.84,719.5754018260648,0.3
1.85,717.5551430164301,0.3
1.86,715.5519706514717,0.3
1.87,713.5661043620812,0.3
1.88,711.5977864528697,0.3
1.89,709.6472826661723,0.3
1.9,707.7148830970688,0.3
1.91,705.8009032562011,0.3
1.92,703.9056852693701,0.3
1.93,702.0295991945296,0.3
1.94,700.1730444278843,0.3
1.95,698.3364511621493,0.3
1.96,696.5202818511933,0.3
1.97,694.7250326274436,0.3
1.98,692.9512346113556,0.3
1.99,691.1994550463841,0.3
2.0,689.4702981893453,0.3
2.01,687.7644058841229,0.3
2.02,686.0824577478273,0.3
2.03,684.4251709026989,0.3
2.04,682.7932991947192,0.3
2.05,681.1876318517515,0.3
2.06,679.6089915500717,0.3
2.07,678.0582318792332,0.3
2.08,676.5362342207696,0.3
2.09,675.0439040868689,0.3
2.1,673.5821669997234,0.3
2.11,672.151964030258,0.3
2.12,670.754247154498,0.3
2.13,669.3899746246117,0.3
2.14,668.060106586829,0.3
2.15,666.7656012060429,0.3
2.16,665.5074115732714,0.3
2.17,664.2864836726675,0.3
2.18,663.1037556663451,0.3
2.19,661.9601587150156,0.3
2.2,660.8566194895238,0.3
2.21,659.7940644442219,0.3
2.22,658.77342582128,0.3
2.23,657.795649241658,0.3
2.24,656.8617026212925,0.3
2.25,655.9725860391051,0.3
2.26,655.1293420853328,0.3
2.27,654.3330661419527,0.3
2.28,653.5849159970435,0.3
2.29,652.8861201737446,0.3
2.3,652.2379843620187,0.3
2.31,651.6418953737623,0.3
2.32,651.0993220942134,0.3
2.33,650.6118129689598,0.3
2.34,650.1809896405465,0.3
2.35,649.8085364276823,0.3
2.36,649.4961854210386,0.3
2.37,649.2456970537496,0.3
2.38,649.0588360949044,0.3
2.39,648.9373431173296,0.3
2.4,648.8829016144786,0.3
2.41,648.8971010953143,0.3
2.42,648.9813966796703,0.3
2.43,649.1370659573101,0.3
2.44,649.3651641641064,0.3
2.45,649.6664790632625,0.3
2.46,650.0414872811202,0.3
2.47,650.4903142041081,0.3
2.48,651.0126998470691,0.3
2.49,651.6079732905451,0.3
2.5,652.2750382827492,0.3
2.51,653.0123723429876,0.3
2.52,653.818041139342,0.3
2.53,654.6897290382678,0.3
2.54,655.6247855877614,0.3
2.55,656.6202864120371,0.3
2.56,657.6731057291443,0.3
2.57,658.7799966420379,0.3
2.58,659.9376746691294,0.3
2.59,661.1428997854474,0.3
2.6,662.3925525654702,0.3
2.61,663.6837007865329,0.3
2.62,665.0136539257683,0.3
2.63,666.3800041840807,0.3
2.64,667.7806538222261,0.3
2.65,669.2138295570686,0.3
2.66,670.6780854594599,0.3
2.67,672.1722961933039,0.3
2.68,673.695642562586,0.3
2.69,675.2475912418766,0.3
2.7,676.82787032165,0.3
2.71,678.4364419672203,0.3
2.72,680.0734731225454,0.3
2.73,681.7393048292817,0.3
2.74,683.434420404052,0.3
2.75,685.1594124417051,0.3
2.76,686.9149483996047,0.3
2.77,688.701734376585,0.3
2.78,690.5204766388815,0.3
2.79,692.3718404749062,0.3
2.8,694.2564060959189,0.3
2.81,696.1746215569166,0.3
