T,rho_B,mu_B
20.0,2.07,328.04607527712625
20.0,2.06,327.72280050642627
20.0,2.05,327.36178747719623
20.0,2.04,326.9560314169412
20.0,2.03,326.4976082517505
20.0,2.02,325.9778617904769
20.0,2.01,325.3879635866089
20.0,2.0,324.7201404622977
20.0,1.99,323.96990752142045
20.0,1.98,323.1393703792824
20.0,1.97,322.24068953101664
20.0,1.96,321.29729678618014
20.0,1.95,320.34024199803264
20.0,1.94,319.40023966426367
20.0,1.93,318.50005967550686
20.0,1.92,317.6515084415227
20.0,1.91,316.8569150020309
20.0,1.9,316.1124722468431
20.0,1.89,315.4112870929528
20.0,1.88,314.7454021116882
20.0,1.87,314.1068746058992
20.0,1.86,313.4881927341153
20.0,1.85,312.8823262346285
20.0,1.84,312.2825670041016
20.0,1.83,311.68229582590385
20.0,1.82,311.07475604861673
20.0,1.81,310.45290244926224
20.0,1.8,309.8093985451346
20.0,1.79,309.1368786405095
20.0,1.78,308.4286147537815
20.0,1.77,307.6798029057513
20.0,1.76,306.8895605096841
20.0,1.75,306.0633163487682
20.0,1.74,305.2144033278658
20.0,1.73,304.3629894510813
20.0,1.72,303.5314268219584
20.0,1.71,302.73807694690464
20.0,1.7,301.993341081092
20.0,1.69,301.2996830432942
20.0,1.68,300.65441676591286
20.0,1.67,300.05295226111645
20.0,1.66,299.4910730715647
20.0,1.65,298.96587914253945
20.0,1.64,298.47562665359453
20.0,1.63,298.01901639817214
20.0,1.62,297.59441796901064
20.0,1.61,297.1993803103414
20.0,1.6,296.8305184119763
20.0,1.59,296.48369673318183
20.0,1.58,296.15437461914246
20.0,1.57,295.8380006002243
20.0,1.56,295.5303822493544
20.0,1.55,295.2279829818568
20.0,1.54,294.9281047462563
20.0,1.53,294.62892391092873
20.0,1.52,294.32937976189214
20.0,1.51,294.0289790229431
20.0,1.5,293.7276502573505
20.0,1.49,293.42580349840125
20.0,1.48,293.12467421781577
20.0,1.47,292.82685900907893
20.0,1.46,292.53675554549665
20.0,1.45,292.26053221351646
20.0,1.44,292.00540130788363
20.0,1.43,291.7783409319653
20.0,1.42,291.58476144102184
20.0,1.41,291.42762499547877
20.0,1.4,291.30727299416566
20.0,1.39,291.221793056232
20.0,1.38,291.1676595244193
20.0,1.37,291.140390180384
20.0,1.36,291.1350899445071
20.0,1.35,291.1468582637634
20.0,1.34,291.17106876685386
20.0,1.33,291.203587086016
20.0,1.32,291.2409464193973
20.0,1.31,291.28051714640264
20.0,1.3,291.32067759195326
20.0,1.29,291.3609706460463
20.0,1.28,291.4022044656171
20.0,1.27,291.44643604998043
20.0,1.26,291.49677987425974
20.0,1.25,291.55702295770027
20.0,1.24,291.6310965725597
20.0,1.23,291.7225200877684
20.0,1.22,291.8339522779702
20.0,1.21,291.96694592493066
20.0,1.2,292.1219155439778
20.0,1.19,292.2982930648098
20.0,1.18,292.4947673619504
20.0,1.17,292.7095570950813
20.0,1.16,292.9406695395605
20.0,1.15,293.18610642756215
20.0,1.14,293.4440349656645
20.0,1.13,293.71290673759967
20.0,1.12,293.99153614212037
20.0,1.11,294.2791400643964
20.0,1.1,294.575340718739
20.0,1.09,294.88013371674526
20.0,1.08,295.19382532882975
20.0,1.07,295.51694620108645
20.0,1.06,295.85015223305055
20.0,1.05,296.1941253812204
20.0,1.04,296.5494867202227
20.0,1.03,296.91673105995477
20.0,1.02,297.2961877187083
20.0,1.01,297.68800715730094
20.0,1.0,298.09216937377926
20.0,0.99,298.50850787354943
20.0,0.98,298.93674260063347
20.0,0.97,299.3765159513146
20.0,0.96,299.82742730924684
20.0,0.95,300.2890629866273
20.0,0.94,300.7610197695587
20.0,0.93,301.2429213469923
20.0,0.92,301.73442774147054
20.0,0.91,302.2352384781263
20.0,0.9,302.7450906482248
20.0,0.89,303.2637532599692
20.0,0.88,303.7910193352666
20.0,0.87,304.32669712673066
20.0,0.86,304.8706016258556
20.0,0.85,305.4225472534881
20.0,0.84,305.982342314121
20.0,0.83,306.54978549947464
20.0,0.82,307.124664477072
20.0,0.81,307.7067564149679
20.0,0.8,308.2958301792892
20.0,0.79,308.8916498904143
20.0,0.78,309.4939795229122
20.0,0.77,310.1025882670367
20.0,0.76,310.7172564190714
20.0,0.75,311.3377816198494
20.0,0.74,311.9639853043882
20.0,0.73,312.59571925369636
20.0,0.72,313.23287214882737
20.0,0.71,313.8753760171001
20.0,0.7,314.52321243377236
20.0,0.69,315.17641830450134
20.0,0.68,315.83509101186536
20.0,0.67,316.49939267118157
20.0,0.66,317.1695532150159
20.0,0.65,317.84587201876894
20.0,0.64,318.5287177949085
20.0,0.63,319.21852651873115
20.0,0.62,319.9157971955359
20.0,0.61,320.62108532144185
20.0,0.6,321.33499411983126
20.0,0.59,322.05816208736843
20.0,0.58,322.79124979607315
20.0,0.57,323.53492107872205
20.0,0.56,324.28982099040115
20.0,0.55,325.056547912041
20.0,0.54,325.8356182408467
20.0,0.53,326.6274215985674
20.0,0.52,327.43216466551274
20.0,0.51,328.2498028524072
20.0,0.5,329.07996156731275
20.0,0.49,329.92185310255843
20.0,0.48,330.7742006791283
20.0,0.47,331.6351864453834
20.0,0.46,332.5024395468702
20.0,0.45,333.3730819412347
20.0,0.44,334.24382650851874
20.0,0.43,335.11111913596585
20.0,0.42,335.97129885907395
20.0,0.41,336.82075067871733
20.0,0.4,337.65603117612744
20.0,0.39,338.47396574051083
20.0,0.38,339.2717047864718
20.0,0.37,340.0467659437298
20.0,0.36,340.79705886473255
20.0,0.35,341.52090527754126
20.0,0.34,342.2170581490707
20.0,0.33,342.88472101985917
20.0,0.32,343.5235653744257
20.0,0.31,344.13374140595613
20.0,0.3,344.71587597577116
20.0,0.29,345.2710512107717
20.0,0.28,345.80075823477694
20.0,0.27,346.3068230206843
20.0,0.26,346.7913049838016
20.0,0.25,347.25637295354176
20.0,0.24,347.70416768600995
20.0,0.23,348.13665862661117
20.0,0.22,348.5555100366861
20.0,0.21,348.9619642539561
20.0,0.2,349.3567408729873
20.0,0.19,349.73996399945383
20.0,0.18,350.1111032103594
20.0,0.17,350.46893173776
20.0,0.16,350.81148044391284
20.0,0.15,351.1359816361356
20.0,0.14,351.43879023568775
20.0,0.13,351.71524753492787
20.0,0.12,351.95947810406136
20.0,0.11,352.1640660969588
20.0,0.1,352.31954975230246
20.0,0.09,352.4136205741959
20.0,0.08,352.4298221294657
20.0,0.07,352.3453508704623
20.0,0.06,352.12712839948455
20.0,0.05,351.7242414109329
20.0,0.04,351.05182235656116
20.0,0.03,349.9512806715395
20.0,0.02,348.0672162718886
20.0,0.01,344.26658294298915
20.0,0.001,329.65516340555354
20.0,0.0005,325.0752643375183
20.0,0.0001,314.3785456102689
20.0,5.0e-5,309.7616723689437
20.0,1.0e-5,299.03538330606216
20.0,5.0e-6,294.414853745246
20.0,1.0e-6,283.68554540956944
20.0,5.0e-7,279.06559610462693
20.0,1.0e-7,268.33505318814895
20.0,5.0e-8,264.78152964627026
20.0,1.0e-8,257.58900856996917
