rho_B,mu_B,eB
0.01,994.4500243679418,0.13
0.02,1012.952165056446,0.13
0.03,1022.8222251437763,0.13
0.04,1029.1567869738699,0.13
0.05,1033.5527143277031,0.13
0.06,1036.7209699733037,0.13
0.07,1039.0404958977824,0.13
0.08,1040.737183044767,0.13
0.09,1041.9564443409022,0.13
0.1,1042.797287024898,0.13
0.11,1043.330064107071,0.13
0.12,1043.606475372107,0.13
0.13,1043.665558566834,0.13
0.14,1043.537461605187,0.13
0.15,1043.2459181010777,0.13
0.16,1042.80993018543,0.13
0.17,1042.2449477489615,0.13
0.18,1041.5637169168476,0.13
0.19,1040.7769046609271,0.13
0.2,1039.8935676713056,0.13
0.21,1038.9215100331044,0.13
0.22,1037.867559527971,0.13
0.23,1036.737782972438,0.13
0.24,1035.5376548834283,0.13
0.25,1034.2721897154706,0.13
0.26,1032.946045202918,0.13
0.27,1031.5636035669243,0.13
0.28,1030.1290283053027,0.13
0.29,1028.6463175733256,0.13
0.3,1027.1193325604136,0.13
0.31,1025.5518224893024,0.13
0.32,1023.9474400740133,0.13
0.33,1022.3097505236889,0.13
0.34,1020.6422354814622,0.13
0.35,1018.9482930657864,0.13
0.36,1017.2312349927362,0.13
0.37,1015.4942815968848,0.13
0.38,1013.7405554325026,0.13
0.39,1011.97307402316,0.13
0.4,1010.1947422342552,0.13
0.41,1008.4083446667227,0.13
0.42,1006.6165384089528,0.13
0.43,1004.8218464345897,0.13
0.44,1003.0266518937765,0.13
0.45,1001.2331935115798,0.13
0.46,999.4435622769521,0.13
0.47,997.6596995761188,0.13
0.48,995.8833968935805,0.13
0.49,994.1162971701656,0.13
0.5,992.3598978698287,0.13
0.51,990.6155557647436,0.13
0.52,988.8844934021844,0.13
0.53,987.1678071679015,0.13
0.54,985.4664768112939,0.13
0.55,983.7813762498097,0.13
0.56,982.1132854268736,0.13
0.57,980.4629029615527,0.13
0.58,978.8308593020743,0.13
0.59,977.217730080734,0.13
0.6,975.6240493661683,0.13
0.61,974.050322520038,0.13
0.62,972.4970383889504,0.13
0.63,970.9646805960853,0.13
0.64,969.4537377391151,0.13
0.65,967.9647123480737,0.13
0.66,966.4981285055768,0.13
0.67,965.0545380797817,0.13
0.68,963.6345255638084,0.13
0.69,962.2387115526902,0.13
0.7,960.8677549177343,0.13
0.71,959.5223537579774,0.13
0.72,958.2032452189965,0.13
0.73,956.9112042712769,0.13
0.74,955.6470415359119,0.13
0.75,954.4116002367446,0.13
0.76,953.2057523494018,0.13
0.77,952.0303940127419,0.13
0.78,950.886440272208,0.13
0.79,949.774819241283,0.13
0.8,948.6964658004758,0.13
0.81,947.6523150039194,0.13
0.82,946.6432954297568,0.13
0.83,945.6703227857989,0.13
0.84,944.7342941548185,0.13
0.85,943.8360833177767,0.13
0.86,942.9765376074704,0.13
0.87,942.1564766971065,0.13
0.88,941.3766935981668,0.13
0.89,940.6379579173038,0.13
0.9,939.9410211042573,0.13
0.91,939.2866230325857,0.13
0.92,938.6754988348187,0.13
0.93,938.1083845287097,0.13
0.94,937.5860197028394,0.13
0.95,937.1091454679455,0.13
0.96,936.6784961084335,0.13
0.97,936.2947834484372,0.13
0.98,935.9586739005598,0.13
0.99,935.6707594557616,0.13
1.0,935.431525385752,0.13
1.01,935.241318959366,0.13
1.02,935.1003247263425,0.13
1.03,935.0085525354392,0.13
1.04,934.9658440688742,0.13
1.05,934.9719020347179,0.13
1.06,935.0263432303788,0.13
1.07,935.1287727584184,0.13
1.08,935.2788723503558,0.13
1.09,935.4764918589544,0.13
1.1,935.7217303419483,0.13
1.11,936.0149923805246,0.13
1.12,936.3570065864551,0.13
1.13,936.7487965276088,0.13
1.14,937.1915992114901,0.13
1.15,937.6867324545688,0.13
1.16,938.2354196353393,0.13
1.17,938.8385881334666,0.13
1.18,939.4966654993143,0.13
1.19,940.2094036947606,0.13
1.2,940.9757644294247,0.13
1.21,941.793895189333,0.13
1.22,942.661214326609,0.13
1.23,943.5746051160482,0.13
1.24,944.5306966745633,0.13
1.25,945.52619018158,0.13
1.26,946.5581780285318,0.13
1.27,947.6244045411897,0.13
1.28,948.7234284975249,0.13
1.29,949.8546650307748,0.13
1.3,951.0183020605589,0.13
1.31,952.2151003473674,0.13
1.32,953.4460957999045,0.13
1.33,954.7122293663523,0.13
1.34,956.0139361151752,0.13
1.35,957.3507324421911,0.13
1.36,958.7208479827923,0.13
1.37,960.1209533503608,0.13
1.38,961.5460310996681,0.13
1.39,962.9894209592658,0.13
1.4,964.4430413481784,0.13
1.41,965.8977541438657,0.13
1.42,967.3438105348226,0.13
1.43,968.7713040485087,0.13
1.44,970.1705667455042,0.13
1.45,971.5324704629709,0.13
1.46,972.848624969393,0.13
1.47,974.1114878394166,0.13
1.48,975.3144116243682,0.13
1.49,976.4516537992254,0.13
1.5,977.5183687686391,0.13
1.51,978.5105900421722,0.13
1.52,979.4252288832348,0.13
1.53,980.2600394072252,0.13
1.54,981.0136152886606,0.13
1.55,981.6853669008976,0.13
1.56,982.2754946771605,0.13
1.57,982.7849529504672,0.13
1.58,983.2154025644578,0.13
1.59,983.5691519571519,0.13
1.6,983.8490879315281,0.13
1.61,984.0586018969375,0.13
1.62,984.2014948423177,0.13
1.63,984.2819157696996,0.13
1.64,984.3042675787401,0.13
1.65,984.2731361413128,0.13
1.66,984.1932230523091,0.13
1.67,984.0692868834624,0.13
1.68,983.9060933813973,0.13
1.69,983.7083744508342,0.13
1.7,983.4807953303424,0.13
1.71,983.2279290940872,0.13
1.72,982.9542374742028,0.13
1.73,982.6640569626936,0.13
1.74,982.3615891885635,0.13
1.75,982.0508946480822,0.13
1.76,981.7358889727357,0.13
1.77,981.420341035423,0.13
1.78,981.1078723106558,0.13
1.79,980.8019570128921,0.13
1.8,980.5059226354487,0.13
1.81,980.2229505995886,0.13
1.82,979.9560767995274,0.13
1.83,979.708191894913,0.13
1.84,979.482041259169,0.13
1.85,979.2802245410012,0.13
1.86,979.1051948385251,0.13
1.87,978.9592575218304,0.13
1.88,978.8445687710472,0.13
1.89,978.763133923454,0.13
1.9,978.7168057452126,0.13
1.91,978.7072827608786,0.13
1.92,978.7361077865968,0.13
1.93,978.8046668208935,0.13
1.94,978.9141884495457,0.13
1.95,979.065743918053,0.13
1.96,979.2602480165618,0.13
1.97,979.4984609074618,0.13
1.98,979.7809910057434,0.13
1.99,980.1082989966299,0.13
2.0,980.4807030451416,0.13
2.01,980.8983852186609,0.13
2.02,981.361399107813,0.13
2.03,981.8696785944024,0.13
2.04,982.4230476793966,0.13
2.05,983.0212312503478,0.13
2.06,983.6638666383183,0.13
2.07,984.35051579,0.13
2.08,985.0806778626414,0.13
2.09,985.8538020384153,0.13
2.1,986.6693003508863,0.13
2.11,987.5265603192142,0.13
2.12,988.4249571953292,0.13
2.13,989.3638656438794,0.13
2.14,990.3426706938636,0.13
2.15,991.3607778224833,0.13
2.16,992.4176220546661,0.13
2.17,993.5126759843434,0.13
2.18,994.6454566448156,0.13
2.19,995.8155311738234,0.13
2.2,997.0225212339055,0.13
2.21,998.2661061591881,0.13
2.22,999.5460248058965,0.13
2.23,1000.8620760854324,0.13
2.24,1002.21411815612,0.13
2.25,1003.6020662432727,0.13
2.26,1005.0258890478909,0.13
2.27,1006.4856036931883,0.13
2.28,1007.9812691468779,0.13
2.29,1009.5129780474725,0.13
2.3,1011.0808468572005,0.13
2.31,1012.6850042652775,0.13
2.32,1014.3255777764343,0.13
2.33,1016.0026784445539,0.13
2.34,1017.7163837541349,0.13
2.35,1019.4667187167341,0.13
2.36,1021.2536353395691,0.13
2.37,1023.0769907407764,0.13
2.38,1024.9365243308298,0.13
2.39,1026.8318346487492,0.13
2.4,1028.762356626816,0.13
2.41,1030.727340244953,0.13
2.42,1032.7258317055675,0.13
2.43,1034.7566583862101,0.13
2.44,1036.8184188818725,0.13
2.45,1038.9094794026869,0.13
2.46,1041.027977623692,0.13
2.47,1043.1718347805147,0.13
2.48,1045.3387763753142,0.13
2.49,1047.526361329304,0.13
2.5,1049.7320188393282,0.13
2.51,1051.953091629515,0.13
2.52,1054.1868838021308,0.13
2.53,1056.4307111452988,0.13
2.54,1058.681951590791,0.13
2.55,1060.9380935485112,0.13
2.56,1063.1967800632194,0.13
2.57,1065.4558471066737,0.13
2.58,1067.7133547825904,0.13
2.59,1069.9676107245555,0.13
2.6,1072.2171854547762,0.13
2.61,1074.4609199014394,0.13
2.62,1076.697925616453,0.13
2.63,1078.927578480058,0.13
2.64,1081.149506823641,0.13
2.65,1083.363574956295,0.13
2.66,1085.5698630593834,0.13
2.67,1087.7686443346715,0.13
2.68,1089.9603601743327,0.13
2.69,1092.145593982423,0.13
2.7,1094.325044132706,0.13
2.71,1096.4994964092302,0.13
2.72,1098.6697961539714,0.13
2.73,1100.836820247528,0.13
2.74,1103.0014489802597,0.13
2.75,1105.16453783639,0.13
2.76,1107.326889215795,0.13
2.77,1109.4892241592531,0.13
2.78,1111.6521542234457,0.13
2.79,1113.8161537706283,0.13
2.8,1115.981533090222,0.13
2.81,1118.1484129471849,0.13
2.82,1120.3167013413802,0.13
2.83,1122.486073443436,0.13
2.84,1124.655955820276,0.13
2.85,1126.8255161471754,0.13
2.86,1128.9936595913691,0.13
2.87,1131.1590329169644,0.13
2.88,1133.3200370847894,0.13
2.89,1135.4748487037484,0.13
2.9,1137.6214501547645,0.13
2.91,1139.7576676014035,0.13
2.92,1141.8812154900572,0.13
2.93,1143.9897456055303,0.13
2.94,1146.0808983601723,0.13
2.95,1148.152353813557,0.13
2.96,1150.2018799716723,0.13
2.97,1152.2273761904953,0.13
2.98,1154.226909965564,0.13
2.99,1156.1987459600648,0.13
3.0,1158.1413667327172,0.13
3.01,1160.0534852016383,0.13
3.02,1161.9340493660231,0.13
3.03,1163.7822401701153,0.13
3.04,1165.597463622508,0.13
3.05,1167.379338385786,0.13
3.06,1169.1276800473436,0.13
3.07,1170.8424831984437,0.13
3.08,1172.5239023130523,0.13
3.09,1174.1722322553785,0.13
3.1,1175.7878890753905,0.13
3.11,1177.3713915892117,0.13
3.12,1178.9233440952705,0.13
3.13,1180.4444204523516,0.13
3.14,1181.9353496435785,0.13
3.15,1183.3969028702263,0.13
3.16,1184.829882159064,0.13
3.17,1186.2351104237446,0.13
3.18,1187.6134228918036,0.13
3.19,1188.9656597910957,0.13
3.2,1190.2926601804725,0.13
3.21,1191.595256806973,0.13
3.22,1192.8742718738588,0.13
3.23,1194.1305136091132,0.13
3.24,1195.3647735312654,0.13
3.25,1196.577824317809,0.13
3.26,1197.7704181904232,0.13
3.27,1198.943285740118,0.13
3.28,1200.0971351241155,0.13
3.29,1201.2326515744915,0.13
3.3,1202.350497166154,0.13
3.31,1203.451310798702,0.13
3.32,1204.5357083529339,0.13
3.33,1205.6042829883495,0.13
3.34,1206.657605552935,0.13
3.35,1207.696225080835,0.13
3.36,1208.7206693573255,0.13
3.37,1209.731445533764,0.13
3.38,1210.7290407780522,0.13
3.39,1211.7139229485879,0.13
3.4,1212.6865412817692,0.13
3.41,1213.647327084911,0.13
3.42,1214.5966944279564,0.13
3.43,1215.5350408286452,0.13
3.44,1216.4627479269004,0.13
3.45,1217.380182145107,0.13
3.46,1218.2876953317163,0.13
3.47,1219.1856253862693,0.13
3.48,1220.0742968644408,0.13
3.49,1220.9540215621685,0.13
3.5,1221.825099078282,0.13
3.51,1222.687817355342,0.13
3.52,1223.5424531986503,0.13
3.53,1224.3892727735663,0.13
3.54,1225.228532081449,0.13
3.55,1226.0604774146263,0.13
3.56,1226.8853457909179,0.13
3.57,1227.7033653682952,0.13
3.58,1228.514755840309,0.13
3.59,1229.3197288129577,0.13
3.6,1230.1184881636912,0.13
3.61,1230.9112303832492,0.13
3.62,1231.6981449010489,0.13
3.63,1232.479414394817,0.13
3.64,1233.2552150851727,0.13
3.65,1234.0257170158284,0.13
3.66,1234.7910843200882,0.13
3.67,1235.5514754742796,0.13
3.68,1236.3070435387463,0.13
3.69,1237.0579363870058,0.13
3.7,1237.8042969236487,0.13
3.71,1238.5462632915408,0.13
3.72,1239.2839690688515,0.13
3.73,1240.0175434564283,0.13
3.74,1240.7471114559942,0.13
3.75,1241.4727940396358,0.13
3.76,1242.1947083110213,0.13
3.77,1242.912967658767,0.13
3.78,1243.6276819023535,0.13
3.79,1244.338957430965,0.13
3.8,1245.0468973356149,0.13
3.81,1245.7516015348963,0.13
3.82,1246.4531668946788,0.13
3.83,1247.151687342062,0.13
3.84,1247.8472539738673,0.13
3.85,1248.5399551599514,0.13
3.86,1249.2298766415954,0.13
3.87,1249.917101625212,0.13
3.88,1250.6017108716164,0.13
3.89,1251.2837827810658,0.13
3.9,1251.9633934742842,0.13
3.91,1252.6406168696678,0.13
3.92,1253.3155247568602,0.13
3.93,1253.9881868668645,0.13
3.94,1254.658670938873,0.13
3.95,1255.3270427839607,0.13
3.96,1255.9933663457962,0.13
3.97,1256.6577037585141,0.13
3.98,1257.320115401878,0.13
3.99,1257.9806599538647,0.13
4.0,1258.6393944407846,0.13
4.01,1259.296374285057,0.13
4.02,1259.9516533507456,0.13
4.03,1260.6052839869528,0.13
4.04,1261.2573170691746,0.13
4.05,1261.9078020387008,0.13
4.06,1262.5567869401532,0.13
4.07,1263.2043184572387,0.13
4.08,1263.850441946794,0.13
4.09,1264.4952014712,0.13
4.1,1265.138639829231,0.13
4.11,1265.7807985854038,0.13
4.12,1266.4217180978899,0.13
4.13,1267.0614375450516,0.13
4.14,1267.6999949506535,0.13
4.15,1268.3374272078022,0.13
4.16,1268.9737701016682,0.13
4.17,1269.6090583310297,0.13
4.18,1270.2433255286908,0.13
4.19,1270.8766042808052,0.13
4.2,1271.5089261451578,0.13
4.21,1272.1403216684273,0.13
4.22,1272.7708204024761,0.13
4.23,1273.400450919695,0.13
4.24,1274.0292408274313,0.13
4.25,1274.657216781535,0.13
4.26,1275.2844044990466,0.13
4.27,1275.910828770051,0.13
4.28,1276.5365134687233,0.13
4.29,1277.1614815635871,0.13
4.3,1277.7857551270067,0.13
4.31,1278.409355343931,0.13
4.32,1279.0323025199057,0.13
4.33,1279.6546160883738,0.13
4.34,1280.276314617273,0.13
4.35,1280.89741581495,0.13
4.36,1281.517936535395,0.13
4.37,1282.1378927828198,0.13
4.38,1282.757299715575,0.13
4.39,1283.3761716494257,0.13
4.4,1283.9945220601883,0.13
4.41,1284.6123635857352,0.13
4.42,1285.2297080273747,0.13
4.43,1285.846566350608,0.13
4.44,1286.46294868527,0.13
4.45,1287.0788643250535,0.13
4.46,1287.6943217264245,0.13
4.47,1288.309328506921,0.13
4.48,1288.9238914428474,0.13
4.49,1289.538016466356,0.13
4.5,1290.1517086619208,0.13
4.51,1290.7649722622014,0.13
4.52,1291.3778106432962,0.13
4.53,1291.9902263193896,0.13
4.54,1292.6022209367834,0.13
4.55,1293.2137952673206,0.13
4.56,1293.824949201204,0.13
4.57,1294.435681739198,0.13
4.58,1295.0459909842327,0.13
4.59,1295.6558741324022,0.13
4.6,1296.2653274633633,0.13
4.61,1296.8743463301462,0.13
4.62,1297.4829251483836,0.13
4.63,1298.091057384965,0.13
4.64,1298.6987355461388,0.13
4.65,1299.3059511650738,0.13
4.66,1299.9126947889038,0.13
4.67,1300.5189559652827,0.13
4.68,1301.1247232284807,0.13
4.69,1301.7299840850612,0.13
4.7,1302.33472499918,0.13
4.71,1302.9389313775637,0.13
4.72,1303.542587554225,0.13
4.73,1304.145676774991,0.13
4.74,1304.7481811819205,0.13
4.75,1305.3500817977128,0.13
4.76,1305.9513585102143,0.13
4.77,1306.551990057144,0.13
4.78,1307.1519540111908,0.13
4.79,1307.7512267656332,0.13
4.8,1308.349783520673,0.13
4.81,1308.9475982706856,0.13
4.82,1309.544643792625,0.13
4.83,1310.140891635843,0.13
4.84,1310.736312113616,0.13
4.85,1311.3308742967133,0.13
4.86,1311.9245460093696,0.13
4.87,1312.5172938280703,0.13
4.88,1313.109083083605,0.13
4.89,1313.6998778668851,0.13
4.9,1314.2896410390888,0.13
4.91,1314.8783342467204,0.13
4.92,1315.4659179422756,0.13
4.93,1316.052351411219,0.13
4.94,1316.6375928060781,0.13
4.95,1317.2215991885066,0.13
4.96,1317.8043265802457,0.13
