T,phi1,phi2,phi3,Phi1,Phi2
300.0,-0.01564621919028814,-0.015339984414544776,-0.40531867007879047,0.8406152740818604,0.8406316231812625
298.0,-0.01661241128670121,-0.016286031399508866,-0.42751839777242717,0.8382894676444467,0.8383063372597758
296.0,-0.017614348714498844,-0.01726665853974422,-0.4502010700949715,0.835915739040032,0.8359331486267795
294.0,-0.018654354795336125,-0.018284095384825862,-0.4733694626531517,0.8334926821068702,0.8335106519854055
292.0,-0.019734963453450435,-0.019340773060870942,-0.497025029370373,0.8310188356736663,0.8310373870734499
290.0,-0.02085894250491549,-0.020439346514347537,-0.5211677409240394,0.8284926813734735,0.8285118364796238
288.0,-0.02202931994740866,-0.021582719612189136,-0.5457959178122092,0.8259126414116522,0.8259324234139964
286.0,-0.02324941370443197,-0.02277407352883944,-0.5709060603309508,0.8232770762846542,0.8232975094294025
284.0,-0.024522865360887797,-0.02401689892946134,-0.5964926783045482,0.8205842824426444,0.8206053920868476
282.0,-0.025853678528090965,-0.02531503255443604,-0.6225481239926963,0.8178324898842145,0.8178543025531892
280.0,-0.027246262600272256,-0.026672698927822758,-0.6490624321774954,0.8150198596660847,0.8150424031140182
278.0,-0.028705482817280525,-0.028094558057216182,-0.6760231719781755,0.8121444813029451,0.812167784576931
276.0,-0.030236717736816188,-0.029585760171401857,-0.7034153154128446,0.8092043700246212,0.8092284635324198
274.0,-0.03184592545373391,-0.031152008764466776,-0.731221128083136,0.8061974638472752,0.8062223794291542
272.0,-0.033539720195763074,-0.03279963349204745,-0.7594200875507094,0.8031216204047632,0.8031473914098348
270.0,-0.03532546129034693,-0.03453567481231895,-0.787988834961527,0.7999746134728187,0.8000012748403749
268.0,-0.03721135695639677,-0.03636798270038596,-0.8169011652104834,0.7967541291059012,0.7967817174523394
266.0,-0.03920658595462518,-0.038305332315611874,-0.8461280603982393,0.7934577612913825,0.7934863150034283
264.0,-0.04132144086587461,-0.04035756020055431,-0.8756377704973914,0.7900830070105138,0.7901125663455674
262.0,-0.043567497705600415,-0.04253572548234622,-0.9053959440241652,0.7866272605792894,0.7866578677738763
260.0,-0.045957817787317,-0.044852301692472646,-0.935365810136841,0.7830878071248921,0.7831195065123551
258.0,-0.04850718930354417,-0.0473214062999889,-0.9655084120116916,0.7794618150351341,0.7794946531739019
256.0,-0.051232418116025275,-0.04995907697715597,-0.9957828896714763,0.7757463271963572,0.775780353010334
254.0,-0.054152679897583864,-0.05278360613744943,-1.0261468087689591,0.7719382508103866,0.7719735157432609
252.0,-0.057289949268617434,-0.0558159486160061,-1.0565565302932443,0.7680343455481049,0.7680709037336663
250.0,-0.060669526233390614,-0.05908022179864762,-1.086967614909985,0.7640312097540854,0.7640691182049852
248.0,-0.06432068648636435,-0.06260432346834649,-1.1173352548188678,0.7599252643550252,0.7599645831728363
246.0,-0.06827749065629493,-0.06642070072783757,-1.1476147257581029,0.7557127340377149,0.7557535266476686
244.0,-0.0725797991940855,-0.07056731444088674,-1.1777618522571844,0.7513896251339548,0.751431958548399
242.0,-0.0772745557106713,-0.0750888589746971,-1.2077334805925817,0.7469516994614079,0.7469956445768975
240.0,-0.08241742407583408,-0.08003831847910801,-1.2374879563302876,0.7423944430880056,0.7424400750220996
238.0,-0.08807489637784902,-0.08547897126202104,-1.2669856071164483,0.7377130285643121,0.7377604270397482
236.0,-0.09432703422610189,-0.09148699714583808,-1.2961892369364305,0.732902268523133,0.7329515183092868
234.0,-0.10127107134542344,-0.09815490525146124,-1.3250646461325715,0.7279565575486,0.7280077489733671
232.0,-0.10902620078464438,-0.10559609091099693,-1.3535812033037442,0.7228697976507374,0.7229230272007202
230.0,-0.11774001019976901,-0.11395096470425628,-1.381712512973821,0.7176353001761707,0.7176906712102334
228.0,-0.12759723582965124,-0.12339529553189142,-1.4094372503672221,0.7122456529000236,0.7123032765123845
226.0,-0.138831812384805,-0.1341517048412084,-1.4367402782882364,0.7066925342492776,0.7067525303359307
224.0,-0.15174364623769862,-0.14650568422278876,-1.4636142322648928,0.7009664450869496,0.7010289436978778
222.0,-0.16672218282848753,-0.16082813433436924,-1.4900618781625394,0.6950563086107214,0.6951214517180716
220.0,-0.1842796972746224,-0.17760726664207588,-1.516099743513257,0.6889488541985861,0.6890167980919897
218.0,-0.20509817610115486,-0.19749365817185205,-1.5417638482790352,0.6826276402324742,0.682698558892124
216.0,-0.23009398410474705,-0.2213626729826301,-1.5671188659189126,0.676071466531178,0.6761455565691744
214.0,-0.260501777694959,-0.2503960905880171,-1.5922727050837988,0.6692517602498894,0.6693292484110199
212.0,-0.2979659980161541,-0.28617270760256086,-1.6173988490922386,0.6621283085391296,0.6622094633558554
210.0,-0.3445861662604746,-0.33071819399423025,-1.6427667074139394,0.6546426772463397,0.6547278270775544
