T,phi1,phi2,phi3,Phi1,Phi2
180.0,-1.7025673701525972,-1.4161582995860846,-2.0298255198316477,0.4745862521929875,0.47481386221131777
178.0,-1.7560090167508307,-1.468070476612227,-2.053401887774108,0.45219816581844197,0.45245273192983704
176.0,-1.8067947507049644,-1.5176498203975686,-2.076053632973958,0.42722072950869405,0.4275084641905042
174.0,-1.8556634630389637,-1.5655514943158773,-2.0980213080816705,0.39888354035672724,0.3992135172984739
172.0,-1.9034168827473772,-1.6125134762698492,-2.1195947096282874,0.366081858856715,0.36646798726432017
170.0,-1.9508242125403783,-1.6592600408324736,-2.1410680921408245,0.3273782091886507,0.32784268036547726
168.0,-1.9978693671335372,-1.7057577553350423,-2.1624057947809843,0.28189597000017097,0.2824730455020685
166.0,-2.041444699829804,-1.7489250019529596,-2.182207926248862,0.23310285553597335,0.23383072165874924
164.0,-2.075872039806535,-1.7831084908454524,-2.1979093080491623,0.1903310556217611,0.19121936282028387
162.0,-2.100214969639663,-1.807324955960419,-2.2090499809806268,0.15811518826929763,0.15913910213186142
160.0,-2.117457076606848,-1.824498468186,-2.2169513108786916,0.13433798597864702,0.13546441124295772
158.0,-2.130185666979042,-1.8371842530668974,-2.2227777428253703,0.11619887542968191,0.11739888091113865
156.0,-2.139960005574381,-1.846927356911848,-2.227237819698861,0.10183751402491209,0.10308769120126357
154.0,-2.147697257340066,-1.8546386570384716,-2.2307516604150894,0.09011548919109238,0.09139698984920003
152.0,-2.1539619765585036,-1.8608798593390794,-2.233579711755244,0.08031895448631118,0.08161647015975901
150.0,-2.159120790211833,-1.8660163015369815,-2.2358921899677067,0.07198035281299912,0.07328134418705096
148.0,-2.1634235303608533,-1.8702972651928822,-2.2378057402678087,0.06478007476049527,0.06607421596964726
146.0,-2.167047511154098,-1.8738998731865384,-2.2394035521257916,0.05849127850520115,0.05977005113398345
144.0,-2.170122920269847,-1.8769542962205448,-2.2407469515857885,0.05294770789512668,0.054204095844412395
142.0,-2.172748087548318,-1.8795589276962164,-2.241882404524522,0.048024133899887314,0.049252386965999276
140.0,-2.1749990646835684,-1.8817899146637473,-2.242845930370942,0.04362400134084299,0.04481944682577867
138.0,-2.1769358635724556,-1.883707370628498,-2.2436659890948887,0.03967135237374181,0.040830241319358085
136.0,-2.178606652923303,-1.8853595589849685,-2.2443654318953032,0.036105382230611605,0.03722476141654616
134.0,-2.1800506627165093,-1.8867857910621941,-2.244962857256455,0.03287666900595049,0.03395427271294022
132.0,-2.1813002451617325,-1.8880184844170975,-2.2454735775028327,0.029944499751079,0.030978657119659032
130.0,-2.182382370151469,-1.8890846577001876,-2.24591032330142,0.027274931804174805,0.028264486666305835
128.0,-2.183319729219455,-1.8900070352557314,-2.246283766384041,0.02483937067727499,0.025783612413258033
126.0,-2.184131571299302,-1.890804883968255,-2.2466029166950117,0.02261348432078043,0.023512086514182254
124.0,-2.1848343369717624,-1.8914946490759688,-2.2468754257504,0.020576394307238653,0.021429361569889095
122.0,-2.1854421530353902,-1.8920904503238416,-2.2471078241096265,0.018710041218778208,0.019517662274627198
120.0,-2.185967220602481,-1.8926044716711352,-2.247305708730556,0.016998690265906773,0.017761496644504403
118.0,-2.1864201237220575,-1.8930472714713782,-2.2474738927294085,0.015428540184114268,0.016147269825533283
116.0,-2.1868100775039565,-1.8934280320643486,-2.247616526409241,0.013987410646699264,0.014662975826642007
114.0,-2.187145129636773,-1.8937547626547686,-2.2477371960621553,0.012664490080519333,0.013297949147831388
112.0,-2.187432325608658,-1.8940344657786279,-2.2478390053832733,0.011450130459333756,0.012042662944902888
110.0,-2.1876778453748624,-1.8942732750990257,-2.247924643138602,0.010335679002586464,0.010888563713180002
108.0,-2.187887117354946,-1.894476570416065,-2.247996439859684,0.009313339137764122,0.009827934893848311
106.0,-2.1880649142752637,-1.8946490744101505,-2.248056415697932,0.008376054867544192,0.008853783582681803
104.0,-2.188215434355904,-1.8947949346229376,-2.2481063210951002,0.007517414006142893,0.007959745838682426
102.0,-2.188342370577369,-1.8949177934170314,-2.2481476715675823,0.006731566741674018,0.007140007078201517
100.0,-2.188448970182282,-1.8950208480759012,-2.248181777629861,0.0060131567330758435,0.006389234788278907
98.0,-2.18853808612288,-1.8951069027611414,-2.248209770673051,0.005357262524971705,0.0057025213647509294
96.0,-2.1886122218210677,-1.8951784137003955,-2.2482326254528684,0.004759347507267162,0.005075335321571041
94.0,-2.188673570339659,-1.895237528710991,-2.2482511797151137,0.004215216991295294,0.004503479460607933
92.0,-2.1887240488526123,-1.8952861219534145,-2.2482661513876416,0.003720981244962689,0.003983054859931844
90.0,-2.188765329135003,-1.895325824641704,-2.248278153689471,0.0032730235433724476,0.0035104297509790305
88.0,-2.188798864660551,-1.8953580523044007,-2.2482877084453,0.002867972462019054,0.00308221252417807
86.0,-2.1888259147876674,-1.895384029082871,-2.2482952578438216,0.0025026777767860565,0.0026952282385353083
84.0,-2.1888475664290588,-1.8954048094672917,-2.248301174838202,0.002174189446143281,0.002346498120810012
82.0,-2.1888647535302863,-1.8954212978006864,-2.2483057723546436,0.0018797392418616209,0.002033221629983881
80.0,-2.18887827462598,-1.8954342658242052,-2.248309311448834,0.0016167246696311627,0.0017527607371339666
78.0,-2.1888888086964444,-1.8954443684904045,-2.2483120085286914,0.0013826948835555812,0.001502626132929464
76.0,-2.18889692950965,-1.8954521582331187,-2.248314041744567,0.0011753383511941902,0.0012804651273886816
74.0,-2.188903118602959,-1.8954580978513556,-2.2483155566338953,0.000992472070601197,0.0010840510512295576
72.0,-2.1889077770338474,-1.8954625721393181,-2.24831667109572,0.0008320321791329856,0.0009112740065979548
70.0,-2.1889112360085003,-1.8954658983739323,-2.2483174797611944,0.0006920658266923849,0.0007601328482039902
68.0,-2.188913766480511,-1.8954683357545707,-2.2483180578184294,0.0005707242142068307,0.0006287283045963662
66.0,-2.1889155877986175,-1.8954700938764057,-2.248318464343849,0.00046625672179482174,0.0005152571737547118
64.0,-2.1889168754715365,-1.89547134030822,-2.248318745187152,0.00037700607022460634,0.00041800754732866283
62.0,-2.1889177681094907,-1.895472207337413,-2.2483189354528474,0.0003014044735407575,0.0003353550332957488
60.0,-2.18891837359527,-1.8954727979387378,-2.248319061617929,0.00023797074943904023,0.0002657599567959557
58.0,-2.1889187745326866,-1.8954731910188511,-2.2483191433225787,0.0001853083561218095,0.00020776552233921442
56.0,-2.1889190330166195,-1.8954734459856264,-2.248319194868407,0.0001421043187385096,0.0001599969160865558
54.0,-2.188919194766632,-1.8954736066892728,-2.248319226456827,0.00010712899374536141,0.00012116131288066711
52.0,-2.188919292668217,-1.8954737047845165,-2.2483192451989376,7.923424996657676e-5,9.004684371378125e-5
50.0,-2.1889193497427337,-1.8954737625391473,-2.248319255922458,5.736491917283539e-5,6.553246302698296e-5
