rho_B,mu_B,eB
0.76,1103.5307901456895,0.05
0.77,1103.1668233710784,0.05
0.78,1102.769037645463,0.05
0.79,1102.3373071972023,0.05
0.8,1101.871715445773,0.05
0.81,1101.3725343559715,0.05
0.82,1100.8402027089555,0.05
0.83,1100.2753043104826,0.05
0.84,1099.6785469232857,0.05
0.85,1099.0507424873701,0.05
0.86,1098.3927889935471,0.05
0.87,1097.7056542086655,0.05
0.88,1096.990361318518,0.05
0.89,1096.2479764549273,0.05
0.9,1095.4795980034794,0.05
0.91,1094.6863475434875,0.05
0.92,1093.869362246868,0.05
0.93,1093.0297885533328,0.05
0.94,1092.1687769412927,0.05
0.95,1091.2874776237659,0.05
0.96,1090.3870370135514,0.05
0.97,1089.468594819622,0.05
0.98,1088.5332816556445,0.05
0.99,1087.5822170602216,0.05
1.0,1086.6165078463525,0.05
1.01,1085.6372467138765,0.05
1.02,1084.6455110731222,0.05
1.03,1083.642362040474,0.05
1.04,1082.6288435768784,0.05
1.05,1081.6059817489388,0.05
1.06,1080.5747840987303,0.05
1.07,1079.5362391136105,0.05
1.08,1078.491315790828,0.05
1.09,1077.4409632941301,0.05
1.1,1076.3861107009945,0.05
1.11,1075.3276668397416,0.05
1.12,1074.2665202157393,0.05
1.13,1073.2035390256592,0.05
1.14,1072.1395712579204,0.05
1.15,1071.0754448767145,0.05
1.16,1070.0119680860969,0.05
1.17,1068.9499296696492,0.05
1.18,1067.890099400484,0.05
1.19,1066.8332285154106,0.05
1.2,1065.7800502465366,0.05
1.21,1064.731280402822,0.05
1.22,1063.6876179935707,0.05
1.23,1062.649745885338,0.05
1.24,1061.6183314830942,0.05
1.25,1060.594027426049,0.05
1.26,1059.577472287824,0.05
1.27,1058.5692912699906,0.05
1.28,1057.5700968772196,0.05
1.29,1056.580489561419,0.05
1.3,1055.6010583211964,0.05
1.31,1054.6323812419537,0.05
1.32,1053.6750259608787,0.05
1.33,1052.7295500399623,0.05
1.34,1051.796501229266,0.05
1.35,1050.8764176018362,0.05
1.36,1049.9698275411927,0.05
1.37,1049.0772495623157,0.05
1.38,1048.1991919475076,0.05
1.39,1047.3361521798338,0.05
1.4,1046.4886161589768,0.05
1.41,1045.6570571875413,0.05
1.42,1044.8419347203105,0.05
1.43,1044.0436928746785,0.05
1.44,1043.2627587077234,0.05
1.45,1042.4995402739912,0.05
1.46,1041.754424488229,0.05
1.47,1041.0277748285982,0.05
1.48,1040.3199289283525,0.05
1.49,1039.63119611701,0.05
1.5,1038.9618549852112,0.05
1.51,1038.3121510599678,0.05
1.52,1037.6822946882114,0.05
1.53,1037.0724592353504,0.05
1.54,1036.4827797108605,0.05
1.55,1035.9133519341826,0.05
1.56,1035.3642323498366,0.05
1.57,1034.8354385906641,0.05
1.58,1034.3269508715648,0.05
1.59,1033.8387142733052,0.05
1.6,1033.3706419473426,0.05
1.61,1032.922619239244,0.05
1.62,1032.4945086915486,0.05
1.63,1032.0861558489835,0.05
1.64,1031.6973957519383,0.05
1.65,1031.3280599704192,0.05
1.66,1030.9779840026727,0.05
1.67,1030.6470148420417,0.05
1.68,1030.3350185041145,0.05
1.69,1030.0418873042631,0.05
1.7,1029.7675466834175,0.05
1.71,1029.511961396703,0.05
1.72,1029.27514090389,0.05
1.73,1029.0571438306895,0.05
1.74,1028.8580814037182,0.05
1.75,1028.6781197971243,0.05
1.76,1028.5174813634985,0.05
1.77,1028.3764447538974,0.05
1.78,1028.2553439602766,0.05
1.79,1028.1545663373934,0.05
1.8,1028.074549679941,0.05
1.81,1028.0157784440996,0.05
1.82,1027.978779211337,0.05
1.83,1027.964115496606,0.05
1.84,1027.9723820038232,0.05
1.85,1028.0041984295403,0.05
1.86,1028.0602029117597,0.05
1.87,1028.1410452157204,0.05
1.88,1028.2473797428056,0.05
1.89,1028.3798584430212,0.05
1.9,1028.5391237060987,0.05
1.91,1028.7258013015316,0.05
1.92,1028.9404934336621,0.05
1.93,1029.1837719745308,0.05
1.94,1029.4561719341168,0.05
1.95,1029.7581852251155,0.05
1.96,1030.0902547766518,0.05
1.97,1030.4527690487257,0.05
1.98,1030.8460569958493,0.05
1.99,1031.2703835245002,0.05
2.0,1031.7259454841865,0.05
2.01,1032.2128682261116,0.05
2.02,1032.7312027567198,0.05
2.03,1033.280923505669,0.05
2.04,1033.8619267193133,0.05
2.05,1034.4740294820158,0.05
2.06,1035.1169693586276,0.05
2.07,1035.7904046429323,0.05
2.08,1036.4939151891617,0.05
2.09,1037.2270037972235,0.05
2.1,1037.9890981174028,0.05
2.11,1038.779553037557,0.05
2.12,1039.5976535148254,0.05
2.13,1040.4426178152185,0.05
2.14,1041.3136011273905,0.05
2.15,1042.2096995213676,0.05
2.16,1043.1299542282493,0.05
2.17,1044.0733562224211,0.05
2.18,1045.0388510926048,0.05
2.19,1046.025344191618,0.05
2.2,1047.0317060562247,0.05
2.21,1048.056778087366,0.05
2.22,1049.0993784771165,0.05
2.23,1050.1583083619512,0.05
2.24,1051.23235817238,0.05
2.25,1052.3203141375568,0.05
2.26,1053.4209648907415,0.05
2.27,1054.533108108635,0.05
2.28,1055.655557105705,0.05
2.29,1056.7871472949205,0.05
2.3,1057.9267424198015,0.05
2.31,1059.0732404601083,0.05
2.32,1060.2255791154973,0.05
2.33,1061.3827407780284,0.05
2.34,1062.5437569153553,0.05
2.35,1063.7077118010739,0.05
2.36,1064.8737455462854,0.05
2.37,1066.0410564056554,0.05
2.38,1067.2089023512267,0.05
2.39,1068.3766019265497,0.05
2.4,1069.543534411549,0.05
2.41,1070.7091393439987,0.05
2.42,1071.8729154560071,0.05
2.43,1073.0344190931835,0.05
2.44,1074.1932621901003,0.05
2.45,1075.3491098784236,0.05
2.46,1076.5016778039405,0.05
2.47,1077.6507292261458,0.05
2.48,1078.7960719694313,0.05
2.49,1079.9375552889696,0.05
2.5,1081.0750667072948,0.05
2.51,1082.208528870127,0.05
2.52,1083.3378964622736,0.05
2.53,1084.463153216964,0.05
2.54,1085.5843090448432,0.05
2.55,1086.7013973023916,0.05
2.56,1087.8144722136306,0.05
2.57,1088.9236064539157,0.05
2.58,1090.0288889002627,0.05
2.59,1091.1304225489764,0.05
2.6,1092.2283225984716,0.05
2.61,1093.322714692773,0.05
2.62,1094.4137333194537,0.05
2.63,1095.5015203544656,0.05
2.64,1096.5862237454164,0.05
2.65,1097.6679963243266,0.05
